date,adjusted_price,unadjusted_price
2016-11-16,9520,43000
2016-11-17,10180,46000
2016-11-18,10860,49050
2016-11-21,10100,45650
2016-11-22,9630,43500
2016-11-23,8960,40500
2016-11-24,8340,37700
2016-11-25,8190,37000
2016-11-28,7970,36000
2016-11-29,7990,36100
2016-11-30,8080,36500
2016-12-01,8230,37200
2016-12-02,8190,37000
2016-12-05,8100,36600
2016-12-06,8140,36800
2016-12-07,8190,37000
2016-12-08,8100,36600
2016-12-09,8100,36600
2016-12-12,8030,36300
2016-12-13,8050,36350
2016-12-14,8330,37650
2016-12-15,8300,37500
2016-12-16,8190,37000
2016-12-19,8200,37050
2016-12-20,8190,37000
2016-12-21,8180,36950
2016-12-22,8180,36950
2016-12-23,8180,36950
2016-12-26,8170,36900
2016-12-27,8170,36900
2016-12-28,8160,36850
2016-12-29,8060,36400
2016-12-30,7970,36000
2017-01-03,7970,36000
2017-01-04,8120,36700
2017-01-05,8080,36500
2017-01-06,8060,36400
2017-01-09,7950,35900
2017-01-10,7920,35800
2017-01-11,7990,36100
2017-01-12,8050,36350
2017-01-13,8010,36200
2017-01-16,7750,35000
2017-01-17,7860,35500
2017-01-18,7770,35100
2017-01-19,7880,35600
2017-01-20,7970,36000
2017-01-23,7970,36000
2017-01-24,7790,35200
2017-01-25,7900,35700
2017-02-02,7970,36000
2017-02-03,8010,36200
2017-02-06,7970,36000
2017-02-07,7970,36000
2017-02-08,7960,35950
2017-02-09,7900,35700
2017-02-10,7790,35200
2017-02-13,7970,36000
2017-02-14,7860,35500
2017-02-15,7880,35600
2017-02-16,7800,35250
2017-02-17,7900,35700
2017-02-20,7900,35700
2017-02-21,8020,36250
2017-02-22,7970,36000
2017-02-23,7920,35800
2017-02-24,7860,35500
2017-02-27,7840,35400
2017-02-28,8140,36800
2017-03-01,8410,38000
2017-03-02,8320,37600
2017-03-03,8320,37600
2017-03-06,8370,37800
2017-03-07,8740,39500
2017-03-08,8730,39450
2017-03-09,8730,39450
2017-03-10,8570,38700
2017-03-13,8680,39200
2017-03-14,8630,39000
2017-03-15,8740,39500
2017-03-16,9160,41400
2017-03-17,9160,41400
2017-03-20,9190,41500
2017-03-21,9220,41650
2017-03-22,8960,40500
2017-03-23,8990,40600
2017-03-24,8740,39500
2017-03-27,8650,39100
2017-03-28,8830,39900
2017-03-29,8680,39200
2017-03-30,8810,39800
2017-04-03,8410,38000
2017-04-04,8650,39100
2017-04-05,8630,39000
2017-04-07,8630,39000
2017-04-10,8410,38000
2017-04-11,8540,38600
2017-04-12,8340,37700
2017-04-13,8190,37000
2017-04-14,8080,36500
2017-04-17,8100,36600
2017-04-18,8100,36600
2017-04-19,8370,37800
2017-04-20,8190,37000
2017-04-21,8190,37000
2017-04-24,8190,37000
2017-04-25,8430,38100
2017-04-26,8410,38000
2017-04-27,8410,38000
2017-04-28,8360,37750
2017-05-03,8280,37400
2017-05-04,8410,38000
2017-05-05,8430,38100
2017-05-08,8520,38500
2017-05-09,8630,39000
2017-05-10,8760,39600
2017-05-11,8760,39600
2017-05-12,8960,40500
2017-05-15,9110,41150
2017-05-16,9070,41000
2017-05-17,9300,42000
2017-05-18,8850,40000
2017-05-19,9070,41000
2017-05-22,9140,41300
2017-05-23,9300,42000
2017-05-24,9360,42300
2017-05-25,9360,42300
2017-05-26,9300,42000
2017-05-29,9340,42200
2017-05-30,9320,42100
2017-05-31,9100,41100
2017-06-01,9100,41100
2017-06-02,8880,40100
2017-06-05,9500,33000
2017-06-06,9580,33300
2017-06-07,9270,32200
2017-06-08,9180,31900
2017-06-09,8630,30000
2017-06-12,9210,32000
2017-06-13,9210,32000
2017-06-14,9440,32800
2017-06-15,9640,33500
2017-06-16,9640,33500
2017-06-19,9780,34000
2017-06-20,9780,34000
2017-06-21,9840,34200
2017-06-22,9940,34550
2017-06-23,9960,34600
2017-06-26,10360,36000
2017-06-27,10560,36700
2017-06-28,10360,36000
2017-06-29,10160,35300
2017-07-03,10360,36000
2017-07-04,10070,35000
2017-07-05,10040,34900
2017-07-06,10330,35900
2017-07-07,10240,35600
2017-07-10,10240,35600
2017-07-11,10070,35000
2017-07-12,10070,35000
2017-07-13,10130,35200
2017-07-14,10040,34900
2017-07-17,9580,33300
2017-07-18,9730,33800
2017-07-19,9580,33300
2017-07-20,9550,33200
2017-07-21,9610,33400
2017-07-24,9600,33350
2017-07-25,9610,33400
2017-07-26,9670,33600
2017-07-27,10070,35000
2017-07-28,10070,35000
2017-07-31,10070,35000
2017-08-01,9980,34700
2017-08-02,10070,35000
2017-08-03,10390,36100
2017-08-04,10430,36250
2017-08-07,10420,36200
2017-08-08,10440,36300
2017-08-09,10440,36300
2017-08-10,10420,36200
2017-08-11,10420,36200
2017-08-14,10240,35600
2017-08-15,10240,35600
2017-08-16,10270,35700
2017-08-17,10270,35700
2017-08-18,10290,35750
2017-08-21,10300,35800
2017-08-22,10270,35700
2017-08-23,10270,35700
2017-08-24,10340,35950
2017-08-25,10300,35800
2017-08-28,10320,35850
2017-08-29,10300,35800
