date,adjusted_price,unadjusted_price
2018-03-06,14270,17800
2018-03-07,13470,16800
2018-03-08,13790,17200
2018-03-09,14030,17500
2018-03-12,13870,17300
2018-03-13,13790,17200
2018-03-14,13630,17000
2018-03-15,13390,16700
2018-03-16,13710,17100
2018-03-19,13630,17000
2018-03-20,13390,16700
2018-03-21,13390,16700
2018-03-22,13070,16300
2018-03-23,12910,16100
2018-03-26,12580,15700
2018-03-27,12500,15600
2018-03-28,12500,15600
2018-03-29,12990,16200
2018-03-30,13310,16600
2018-04-02,13310,16600
2018-04-03,12990,16200
2018-04-04,13150,16400
2018-04-05,12990,16200
2018-04-06,12910,16100
2018-04-09,12820,16000
2018-04-10,12740,15900
2018-04-11,12500,15600
2018-04-12,12580,15700
2018-04-13,12500,15600
2018-04-16,12420,15500
2018-04-17,12500,15600
2018-04-18,12100,15100
2018-04-19,11700,14600
2018-04-20,11700,14600
2018-04-23,11380,14200
2018-04-24,11060,13800
2018-04-26,10900,13600
2018-04-27,10900,13600
2018-05-03,10660,13300
2018-05-04,10740,13400
2018-05-07,11540,14400
2018-05-08,11540,14400
2018-05-09,11380,14200
2018-05-10,10980,13700
2018-05-11,11220,14000
2018-05-14,11300,14100
2018-05-15,11540,14400
2018-05-16,11620,14500
2018-05-17,11620,14500
2018-05-18,11860,14800
2018-05-21,11700,14600
2018-05-22,11220,14000
2018-05-23,11380,14200
2018-05-24,11380,14200
2018-05-25,11380,14200
2018-05-28,10740,13400
2018-05-29,11140,13900
2018-05-30,10980,13700
2018-05-31,11220,14000
2018-06-01,11300,14100
2018-06-04,11380,14200
2018-06-05,11380,14200
2018-06-06,11300,14100
2018-06-07,11220,14000
2018-06-08,11140,13900
2018-06-11,11140,13900
2018-06-12,10900,13600
2018-06-13,10980,13700
2018-06-14,10900,13600
2018-06-15,11060,13800
2018-06-18,10820,13500
2018-06-19,10340,12900
2018-06-20,10420,13000
2018-06-21,10420,13000
2018-06-22,10420,13000
2018-06-25,10500,13100
2018-06-26,10820,13500
2018-06-27,10580,13200
2018-06-28,10500,13100
2018-06-29,10500,13100
2018-07-02,10260,12800
2018-07-03,9940,12400
2018-07-04,9940,12400
2018-07-05,9620,12000
2018-07-06,9460,11800
2018-07-09,9380,11700
2018-07-10,9300,11600
2018-07-11,8900,11100
2018-07-12,8820,11000
2018-07-13,8820,11000
2018-07-16,8820,11000
2018-07-17,8820,11000
2018-07-18,9460,11800
2018-07-19,10420,13000
2018-07-20,10340,12900
