date,adjusted_price,unadjusted_price
2016-12-20,32490,112000
2016-12-21,29590,102000
2016-12-22,26890,92700
2016-12-23,27910,96200
2016-12-26,27940,96300
2016-12-27,27880,96100
2016-12-28,27650,95300
2016-12-29,27590,95100
2016-12-30,27560,95000
2017-01-03,27790,95800
2017-01-04,28140,97000
2017-01-05,28730,98500
2017-01-06,29190,100100
2017-01-09,30770,105500
2017-01-10,31440,107800
2017-01-11,31880,109300
2017-01-12,32340,110900
2017-01-13,31550,108200
2017-01-16,30150,103400
2017-01-17,29920,102600
2017-01-18,30620,105000
2017-01-19,30620,105000
2017-01-20,30590,104900
2017-01-23,30710,105300
2017-01-24,30830,105700
2017-01-25,31260,107200
2017-02-02,31930,109500
2017-02-03,32310,110800
2017-02-06,31990,109700
2017-02-07,31730,108800
2017-02-08,31930,109500
2017-02-09,32230,110500
2017-02-10,32080,110000
2017-02-13,32050,109900
2017-02-14,31900,109400
2017-02-15,31960,109600
2017-02-16,31790,109000
2017-02-17,31790,109000
2017-02-20,31790,109000
2017-02-21,32080,110000
2017-02-22,32200,110400
2017-02-23,32520,111500
2017-02-24,33860,116100
2017-02-27,34700,119000
2017-02-28,35350,121200
2017-03-01,35000,120000
2017-03-02,34700,119000
2017-03-03,34820,119400
2017-03-06,35170,120600
2017-03-07,35350,121200
2017-03-08,35670,122300
2017-03-09,35900,123100
2017-03-10,36130,123900
2017-03-13,35810,122800
2017-03-14,35960,123300
2017-03-15,36190,124100
2017-03-16,36250,124300
2017-03-17,36690,125800
2017-03-20,37560,128800
2017-03-21,36750,126000
2017-03-22,36660,125700
2017-03-23,36690,125800
2017-03-24,36890,126500
2017-03-27,36450,125000
2017-03-28,36720,125900
2017-03-29,36450,125000
2017-03-30,36450,125000
2017-03-31,35870,123000
2017-04-03,35990,123400
2017-04-04,35580,122000
2017-04-05,34880,119600
2017-04-07,35430,121500
2017-04-10,35700,122400
2017-04-11,36190,124100
2017-04-12,36160,124000
2017-04-13,36250,123300
2017-04-14,36040,122600
2017-04-17,36040,122600
2017-04-18,35950,122300
2017-04-19,36100,122800
2017-04-20,36040,122600
2017-04-21,36040,122600
2017-04-24,36780,125100
2017-04-25,36720,124900
2017-04-26,36310,123500
2017-04-27,36420,123900
2017-04-28,36310,123500
2017-05-03,36500,95500
2017-05-04,37300,97600
2017-05-05,37380,97800
2017-05-08,37070,97000
2017-05-09,36730,96100
2017-05-10,36310,95000
2017-05-11,36310,95000
2017-05-12,35430,92700
2017-05-15,35470,92800
2017-05-16,35050,91700
2017-05-17,35240,92200
2017-05-18,35200,92100
2017-05-19,35350,92500
2017-05-22,35050,91700
2017-05-23,34590,90500
2017-05-24,34400,90000
2017-05-25,34400,90000
2017-05-26,34400,90000
2017-05-29,34590,90500
2017-05-30,34860,91200
2017-05-31,35010,91600
2017-06-01,34590,90500
2017-06-02,34470,90200
2017-06-05,34440,90100
2017-06-06,34510,90300
2017-06-07,34090,89200
2017-06-08,34240,89600
2017-06-09,34170,89400
2017-06-12,33060,86500
2017-06-13,32260,84400
2017-06-14,31150,81500
2017-06-16,32300,84500
2017-06-19,32180,84200
2017-06-20,32260,84400
2017-06-21,31840,83300
2017-06-22,31870,83400
2017-06-23,31800,83200
2017-06-26,32070,83900
2017-06-27,31870,83400
2017-06-28,31950,83600
2017-06-29,32140,84100
2017-06-30,32450,84900
2017-07-03,32100,84000
2017-07-04,32140,84100
2017-07-05,31950,83600
2017-07-06,32100,84000
2017-07-07,31910,83500
2017-07-10,31680,82900
2017-07-11,31610,82700
2017-07-12,31570,82600
2017-07-13,31570,82600
2017-07-14,31490,82400
2017-07-17,30960,81000
2017-07-18,31490,82400
2017-07-19,30920,80900
2017-07-20,31000,81100
2017-07-21,31380,82100
2017-07-24,31150,81500
2017-07-25,30800,80600
2017-07-26,30690,80300
2017-07-27,30880,80800
2017-07-28,31040,80700
2017-07-31,30770,80000
2017-08-01,30270,78700
2017-08-02,29270,76100
2017-08-03,29800,77500
2017-08-04,29420,76500
2017-08-07,28800,74900
2017-08-08,28150,73200
2017-08-09,27920,72600
2017-08-10,27650,71900
2017-08-11,27110,70500
2017-08-14,26500,68900
2017-08-15,26540,69000
2017-08-16,27540,71600
2017-08-17,27960,72700
2017-08-18,27540,71600
2017-08-21,27000,70200
2017-08-22,27150,70600
2017-08-23,27190,70700
2017-08-24,27230,70800
2017-08-25,27270,70900
2017-08-28,27420,71300
2017-08-29,28000,72800
2017-08-30,28040,72900
2017-08-31,28070,73000
2017-09-01,27960,72700
2017-09-05,28070,73000
2017-09-06,28000,72800
2017-09-07,27920,72600
2017-09-08,27920,72600
2017-09-12,27880,72500
2017-09-13,27880,72500
2017-09-14,27690,72000
2017-09-15,27570,71700
2017-09-18,27300,71000
2017-09-19,27150,70600
2017-09-20,27150,70600
2017-09-21,27270,70900
2017-09-22,27270,70900
2017-09-25,27150,70600
2017-09-26,27070,70400
2017-09-27,27000,70200
2017-09-28,26960,70100
2017-09-29,26800,69700
2017-10-02,26420,68700
2017-10-03,25770,67000
2017-10-04,25570,66500
2017-10-05,26230,68200
2017-10-06,26150,68000
2017-10-09,25920,67400
2017-10-10,25770,67000
2017-10-11,25880,67300
2017-10-12,25960,67500
2017-10-13,25690,66800
2017-10-16,25770,67000
2017-10-17,25570,66500
2017-10-18,25610,66600
2017-10-19,25570,66500
2017-10-20,25540,66400
2017-10-23,25040,65100
2017-10-24,23540,61200
2017-10-25,21840,56800
2017-10-26,21230,55200
2017-10-27,21110,54900
2017-10-30,21110,54900
2017-10-31,21070,54800
2017-11-01,20960,54500
2017-11-02,21730,56500
2017-11-03,23840,62000
2017-11-06,25310,65800
2017-11-07,24270,63100
2017-11-08,23840,62000
2017-11-09,24110,62700
2017-11-10,24310,63200
2017-11-13,23810,61900
2017-11-14,23770,61800
2017-11-15,23770,61800
2017-11-16,23570,61300
2017-11-17,23150,60200
2017-11-20,23310,60600
2017-11-21,23420,60900
2017-11-22,23380,60800
2017-11-23,23150,60200
2017-11-24,22610,58800
2017-11-27,23000,59800
2017-11-28,22880,59500
2017-11-29,22690,59000
2017-11-30,22770,59200
2017-12-01,22730,59100
2017-12-04,21880,56900
2017-12-05,21540,56000
2017-12-06,21040,54700
2017-12-07,21420,55700
2017-12-08,21540,56000
2017-12-11,21150,55000
2017-12-12,20920,54400
2017-12-13,20960,54500
2017-12-14,20960,54500
2017-12-15,21920,57000
2017-12-18,21920,57000
2017-12-19,21730,56000
2017-12-20,21920,56500
2017-12-21,21730,56000
2017-12-22,21800,56200
2017-12-25,21730,56000
2017-12-26,21650,55800
2017-12-27,21610,55700
2017-12-28,21260,54800
2017-12-29,21100,54400
2018-01-02,21300,54900
2018-01-03,21260,54800
2018-01-04,21380,55100
2018-01-05,21730,56000
2018-01-08,21340,55000
2018-01-09,21180,54600
2018-01-10,21030,54200
2018-01-11,20450,52700
2018-01-12,20480,52800
2018-01-15,20130,51900
2018-01-16,20210,52100
2018-01-17,19980,51500
2018-01-18,20370,52500
2018-01-19,20020,51600
2018-01-22,19790,51000
2018-01-23,19590,50500
2018-01-24,19320,49800
2018-01-25,18890,48700
2018-01-26,18780,48400
2018-01-29,17650,45500
2018-01-30,17460,45000
2018-01-31,18620,48000
2018-02-01,20480,52800
2018-02-02,20290,52300
2018-02-05,19280,49700
2018-02-06,18930,48800
2018-02-07,19590,50500
2018-02-08,19790,51000
2018-02-09,19510,50300
2018-02-12,20720,53400
2018-02-13,21420,55200
2018-02-21,22890,59000
2018-02-22,23510,60600
2018-02-23,23740,61200
2018-02-26,24950,64300
2018-02-27,25450,65600
