date,adjusted_price,unadjusted_price
2007-01-02,5830,128000
2007-01-03,6100,134000
2007-01-04,6370,140000
2007-01-05,6690,147000
2007-01-08,6600,145000
2007-01-09,6920,152000
2007-01-10,7240,159000
2007-01-11,7560,166000
2007-01-12,7920,174000
2007-01-15,8280,182000
2007-01-16,8330,183000
2007-01-17,7920,174000
2007-01-18,8280,182000
2007-01-19,8690,191000
2007-01-22,8380,184000
2007-01-23,8790,193000
2007-01-24,8650,190000
2007-01-25,8690,191000
2007-01-26,8690,191000
2007-01-29,9100,200000
2007-01-30,9560,210000
2007-01-31,9790,215000
2007-02-01,9560,210000
2007-02-02,10010,220000
2007-02-05,9600,211000
2007-02-06,10060,221000
2007-02-07,10060,221000
2007-02-08,9560,210000
2007-02-09,9560,210000
2007-02-12,10010,220000
2007-02-13,10240,225000
2007-02-14,10740,236000
2007-02-15,11240,247000
2007-02-26,11790,259000
2007-02-27,12340,271000
2007-02-28,12880,283000
2007-03-01,12880,283000
2007-03-02,12750,280000
2007-03-05,12970,285000
2007-03-06,12520,275000
2007-03-07,12340,271000
2007-03-08,12650,278000
2007-03-09,12560,276000
2007-03-12,12750,280000
2007-03-13,12650,278000
2007-03-14,12290,270000
2007-03-15,11740,258000
2007-03-16,12290,270000
2007-03-19,12750,280000
2007-03-20,12470,274000
2007-03-21,12750,280000
2007-03-22,12650,278000
2007-03-23,12750,280000
2007-03-26,12520,275000
2007-03-27,11970,263000
2007-03-28,12560,276000
2007-03-29,12970,285000
2007-03-30,12700,279000
2007-04-02,12110,266000
2007-04-03,11840,260000
2007-04-04,12240,269000
2007-04-05,11970,263000
2007-04-06,11740,258000
2007-04-09,11740,258000
2007-04-10,11560,254000
2007-04-11,11380,250000
2007-04-12,10920,240000
2007-04-13,10700,235000
2007-04-16,10200,224000
2007-04-17,10330,227000
2007-04-18,10830,238000
2007-04-19,10470,230000
2007-04-20,10420,229000
2007-04-23,9920,218000
2007-04-24,9790,215000
2007-04-25,10240,225000
2007-05-02,10700,235000
2007-05-03,10650,234000
2007-05-04,10560,232000
2007-05-07,11060,243000
2007-05-08,11610,170000
2007-05-09,11950,175000
2007-05-10,11610,170000
2007-05-11,11950,175000
2007-05-14,12020,176000
2007-05-15,11740,172000
2007-05-16,11610,170000
2007-05-17,11740,172000
2007-05-18,11740,172000
2007-05-21,11740,172000
2007-05-22,11810,173000
2007-05-23,12020,176000
2007-05-24,11740,172000
2007-05-25,11950,175000
2007-05-28,11810,173000
2007-05-29,11680,171000
2007-05-30,11540,169000
2007-05-31,11610,170000
2007-06-01,11400,167000
2007-06-04,11200,164000
2007-06-05,10720,157000
2007-06-06,11200,164000
2007-06-07,11200,164000
2007-06-08,11060,162000
2007-06-11,10860,159000
2007-06-12,10920,160000
2007-06-13,10990,161000
2007-06-14,10920,160000
2007-06-15,10860,159000
2007-06-18,10860,159000
2007-06-19,10860,159000
2007-06-20,10860,159000
2007-06-21,10790,158000
2007-06-22,10650,156000
2007-06-25,10510,154000
2007-06-26,10580,155000
2007-06-27,10510,154000
2007-06-28,10380,152000
2007-06-29,10240,150000
2007-07-02,9830,144000
2007-07-03,9630,141000
2007-07-04,10100,148000
2007-07-05,9760,143000
2007-07-06,9900,145000
2007-07-09,9830,144000
2007-07-10,10310,151000
2007-07-11,10380,152000
2007-07-12,10170,149000
2007-07-13,10240,150000
2007-07-16,9970,146000
2007-07-17,10040,147000
2007-07-18,9970,146000
2007-07-19,9970,146000
2007-07-20,9900,145000
2007-07-23,9760,143000
2007-07-24,9560,140000
2007-07-25,9490,139000
2007-07-26,9290,136000
2007-07-27,9290,136000
2007-07-30,9080,133000
2007-07-31,8670,127000
2007-08-01,9080,133000
2007-08-02,8940,131000
2007-08-03,8670,127000
2007-08-06,8670,127000
2007-08-07,8880,130000
2007-08-08,8880,130000
2007-08-09,9290,136000
2007-08-10,9220,135000
2007-08-13,8880,130000
2007-08-14,9080,133000
2007-08-15,8940,131000
2007-08-16,8810,129000
2007-08-17,8810,129000
2007-08-20,8940,131000
2007-08-21,8940,131000
2007-08-22,8940,131000
2007-08-23,8880,130000
2007-08-24,9080,133000
2007-08-27,9010,132000
2007-08-28,9010,132000
2007-08-29,8940,131000
2007-08-30,8940,131000
2007-08-31,9010,132000
2007-09-04,9350,137000
2007-09-05,9290,136000
2007-09-06,9290,136000
2007-09-07,9220,135000
2007-09-10,9220,135000
2007-09-11,9080,133000
2007-09-12,9010,132000
2007-09-13,9010,132000
2007-09-14,9080,133000
2007-09-17,9080,133000
2007-09-18,9150,134000
2007-09-19,9420,138000
2007-09-20,9830,144000
2007-09-21,9700,142000
2007-09-24,10170,149000
2007-09-25,10380,152000
2007-09-26,10380,152000
2007-09-27,10240,150000
2007-09-28,10510,154000
2007-10-01,10990,161000
2007-10-02,10920,160000
2007-10-03,10990,161000
2007-10-04,10860,159000
2007-10-05,10650,156000
2007-10-08,10580,155000
2007-10-09,10790,158000
2007-10-10,10790,158000
2007-10-11,10720,157000
2007-10-12,10720,157000
