date,adjusted_price,unadjusted_price
2012-10-16,5340,26900
2012-10-17,5340,26900
2012-10-18,5700,28700
2012-10-19,6090,30700
2012-10-22,6510,32800
2012-10-23,6070,30600
2012-10-24,5700,28700
2012-10-25,5320,26800
2012-10-26,5320,26800
2012-10-29,5320,26800
2012-10-30,5320,26800
2012-10-31,5320,26800
2012-11-01,5320,26800
2012-11-02,4960,25000
2012-11-05,4640,23400
2012-11-06,4740,23900
2012-11-07,4740,23900
2012-11-08,4740,23900
2012-11-09,5040,25400
2012-11-12,5380,27100
2012-11-13,5740,28900
2012-11-14,6050,30500
2012-11-15,6050,30500
2012-11-16,6050,30500
2012-11-19,6050,30500
2012-11-20,6050,30500
2012-11-21,6050,30500
2012-11-22,6050,30500
2012-11-23,6050,30500
2012-11-26,6050,30500
2012-11-27,6050,30500
2012-11-28,6050,30500
2012-11-29,5640,28400
2012-11-30,5260,26500
2012-12-03,5260,25500
2012-12-04,5260,25500
2012-12-05,5610,27200
2012-12-06,5610,27200
2012-12-07,5610,27200
2012-12-10,5610,27200
2012-12-11,5610,27200
2012-12-12,5610,27200
2012-12-13,5610,27200
2012-12-14,5610,27200
2012-12-17,5610,27200
2012-12-18,5610,27200
2012-12-19,5220,25300
2012-12-20,5570,27000
2012-12-21,5570,27000
2012-12-24,5570,27000
2012-12-25,5570,27000
2012-12-26,5570,27000
2012-12-27,5570,27000
2012-12-28,5570,27000
2013-01-02,5570,27000
2013-01-03,5570,27000
2013-01-04,5570,27000
2013-01-07,5570,27000
2013-01-08,5570,27000
2013-01-09,5570,27000
2013-01-10,5570,27000
2013-01-11,5570,27000
2013-01-14,5570,27000
2013-01-15,5570,27000
2013-01-16,5570,27000
2013-01-17,5570,27000
2013-01-18,5570,27000
2013-01-21,5010,24300
2013-01-22,5010,24300
2013-01-23,5010,24300
2013-01-24,5010,24300
2013-01-25,5010,24300
2013-01-28,5010,24300
2013-01-29,5010,24300
2013-01-30,4540,22000
2013-01-31,4540,22000
2013-02-01,4540,22000
2013-02-04,4540,22000
2013-02-05,4540,22000
2013-02-06,4540,22000
2013-02-07,4540,22000
2013-02-08,4540,22000
2013-02-18,4560,22100
2013-02-19,4740,23000
2013-02-20,4740,23000
2013-02-21,4740,23000
2013-02-22,4740,23000
2013-02-25,4740,23000
2013-02-26,4740,23000
2013-02-27,4740,23000
2013-02-28,4540,22000
2013-03-01,4990,24200
2013-03-04,5360,26000
2013-03-05,5360,26000
2013-03-06,5360,26000
2013-03-07,5360,26000
2013-03-08,5360,26000
2013-03-11,5360,26000
2013-03-12,5360,26000
2013-03-13,5360,26000
2013-03-14,5360,26000
2013-03-15,5360,26000
2013-03-18,4950,24000
2013-03-19,4950,24000
2013-03-20,4930,23900
2013-03-21,4930,23900
2013-03-22,4740,23000
2013-03-25,4740,23000
2013-03-26,5200,25200
2013-03-27,5200,25200
2013-03-28,5200,25200
2013-03-29,5570,27000
2013-04-01,5260,25500
2013-04-02,5260,25500
2013-04-03,5260,25500
2013-04-04,5260,25500
2013-04-05,5260,25500
2013-04-08,5260,25500
2013-04-09,5260,25500
2013-04-10,5260,25500
2013-04-11,5260,25500
2013-04-12,5160,25000
2013-04-15,5160,25000
2013-04-16,5160,25000
2013-04-17,5160,25000
2013-04-18,5160,25000
2013-04-22,5610,27200
2013-04-23,5180,25100
2013-04-24,5610,27200
2013-04-25,5610,27200
2013-04-26,5360,26000
2013-05-02,5360,26000
2013-05-03,5360,26000
2013-05-06,5610,27200
2013-05-07,5610,27200
2013-05-08,5610,27200
2013-05-09,5610,27200
2013-05-10,5610,27200
2013-05-13,5610,27200
2013-05-14,5610,27200
2013-05-15,5260,25500
2013-05-16,5260,25500
2013-05-17,5260,25500
2013-05-21,5260,25500
2013-05-22,5260,25500
2013-05-23,5260,25500
2013-05-24,5260,25500
2013-05-27,5260,25500
2013-05-28,5260,25500
2013-05-29,5260,25500
2013-05-30,5260,25500
2013-05-31,5260,25500
2013-06-03,5260,25500
2013-06-04,5260,25500
2013-06-05,5260,25500
2013-06-06,5260,25500
2013-06-07,5260,25500
2013-06-10,5260,25500
2013-06-11,5260,25500
2013-06-12,5260,25500
2013-06-13,5260,25500
2013-06-14,5360,26000
2013-06-17,5360,26000
2013-06-18,5610,27200
2013-06-19,5610,27200
2013-06-20,5610,27200
2013-06-21,5610,27200
2013-06-24,5610,27200
2013-06-25,5610,27200
2013-06-26,5610,25700
2013-06-27,5610,25700
2013-06-28,5610,25700
2013-07-01,5610,25700
2013-07-02,5610,25700
2013-07-03,5610,25700
2013-07-05,5610,25700
2013-07-08,5610,25700
2013-07-09,5610,25700
2013-07-10,5610,25700
2013-07-11,5610,25700
2013-07-12,5610,25700
2013-07-15,5610,25700
2013-07-16,5610,25700
2013-07-17,5610,25700
2013-07-18,5610,25700
2013-07-19,5610,25700
2013-07-22,5610,25700
2013-07-23,5610,25700
2013-07-24,5610,25700
2013-07-25,6130,28100
2013-07-26,6130,28100
2013-07-29,6130,28100
2013-07-30,5890,27000
2013-07-31,5300,24300
2013-08-01,5300,24300
2013-08-02,5300,24300
2013-08-05,5300,24300
2013-08-06,5300,24300
2013-08-07,5780,26500
2013-08-08,5710,25000
2013-08-12,5710,25000
2013-08-13,6050,26500
2013-08-14,6050,26500
2013-08-19,6050,26500
2013-08-20,6160,27000
2013-08-22,6160,27000
2013-08-26,6160,27000
2013-08-27,6710,29400
2013-09-04,6620,29000
2013-09-05,6620,29000
2013-09-16,6390,28000
2013-09-20,5750,25200
2013-09-24,5710,25000
2013-09-25,5590,24500
2013-09-27,5160,22600
2013-10-04,5590,24500
2013-10-07,6070,26600
2013-10-08,6210,27200
2013-10-09,6280,27500
2013-10-11,6390,28000
2013-10-14,5930,26000
2013-10-16,5930,26000
2013-10-18,6160,27000
2013-10-21,6140,26900
2013-10-22,6050,26500
2013-10-23,6050,26500
2013-10-24,5930,26000
2013-10-25,6030,26400
2013-10-28,6120,26800
2013-10-29,6090,26700
2013-10-30,6140,26900
2013-10-31,6250,27400
2013-11-01,6300,27600
2013-11-04,6600,28900
2013-11-05,6480,28400
2013-11-06,6410,28100
2013-11-07,6530,28600
2013-11-08,7120,31200
2013-11-11,6890,30200
2013-11-12,7040,29800
2013-11-13,6780,28700
2013-11-14,6700,28400
2013-11-15,6560,27800
2013-11-18,6610,28000
2013-11-19,6730,28500
2013-11-20,6730,28500
2013-11-21,6700,28400
2013-11-22,6700,28400
2013-11-25,6700,28400
2013-11-26,6800,28800
2013-11-27,6680,28300
2013-11-28,6680,28300
2013-11-29,6750,28600
2013-12-02,6820,28900
2013-12-03,6820,28900
2013-12-04,6820,28900
2013-12-05,6750,28600
2013-12-06,6730,28500
2013-12-09,6370,27000
2013-12-10,6590,27900
2013-12-11,6590,27900
2013-12-12,6470,27400
2013-12-13,6420,27200
2013-12-16,6300,26700
2013-12-17,6370,27000
2013-12-18,6470,27400
2013-12-19,6490,27500
2013-12-20,6490,27500
2013-12-23,6280,26600
2013-12-24,6280,26600
2013-12-25,6190,26200
2013-12-26,6040,25600
2013-12-27,5950,25200
2013-12-30,5810,24600
2013-12-31,6330,26800
2014-01-02,6370,27000
2014-01-03,6370,27000
2014-01-06,6300,26700
2014-01-07,6370,27000
2014-01-08,6370,27000
2014-01-09,6330,26800
2014-01-10,6330,26800
2014-01-13,6260,26500
2014-01-14,6780,28700
2014-01-15,6960,29500
2014-01-16,6730,28500
2014-01-17,6490,27500
2014-01-20,6370,27000
2014-01-21,6420,27200
2014-01-22,6700,28400
2014-01-23,6590,27900
2014-01-24,6850,29000
2014-01-27,7290,30900
2014-02-06,6960,29500
2014-02-07,7040,29800
2014-02-10,6630,28100
2014-02-11,6540,27700
2014-02-12,6590,27900
2014-02-13,6590,27900
2014-02-14,6730,28500
2014-02-17,6700,28400
2014-02-18,6800,28800
2014-02-19,6730,28500
