date,adjusted_price,unadjusted_price
2007-01-02,11680,71500
2007-01-03,11920,73000
2007-01-04,12410,76000
2007-01-05,12330,75500
2007-01-08,12170,74500
2007-01-09,12090,74000
2007-01-10,11920,73000
2007-01-11,11840,72500
2007-01-12,11760,72000
2007-01-15,11840,72500
2007-01-16,12410,76000
2007-01-17,12990,79500
2007-01-18,13560,83000
2007-01-19,14210,87000
2007-01-22,14860,91000
2007-01-23,15600,95500
2007-01-24,16330,100000
2007-01-25,15520,95000
2007-01-26,16010,98000
2007-01-29,16250,99500
2007-01-30,16330,100000
2007-01-31,16010,98000
2007-02-01,15680,96000
2007-02-02,15520,95000
2007-02-05,15680,96000
2007-02-06,16010,98000
2007-02-07,16330,100000
2007-02-08,15840,97000
2007-02-09,15840,97000
2007-02-12,16170,99000
2007-02-13,16170,99000
2007-02-14,16090,98500
2007-02-15,16010,98000
2007-02-26,16660,102000
2007-02-27,17480,107000
2007-02-28,17640,108000
2007-03-01,18130,111000
2007-03-02,18950,116000
2007-03-05,19760,121000
2007-03-06,20740,127000
2007-03-07,21720,133000
2007-03-08,22700,139000
2007-03-09,22870,140000
2007-03-12,24010,147000
2007-03-13,25150,154000
2007-03-14,24010,147000
2007-03-15,22870,140000
2007-03-16,24010,147000
2007-03-19,25150,154000
2007-03-20,26300,161000
2007-03-21,27280,167000
2007-03-22,26950,165000
2007-03-23,26130,160000
2007-03-26,24830,152000
2007-03-27,23680,145000
2007-03-28,24830,152000
2007-03-29,25150,154000
2007-03-30,24170,148000
2007-04-02,23680,145000
2007-04-03,23520,144000
2007-04-04,24010,147000
2007-04-05,23850,146000
2007-04-06,23680,145000
2007-04-09,24010,147000
2007-04-10,23850,146000
2007-04-11,23850,146000
2007-04-12,23680,145000
2007-04-13,23190,142000
2007-04-16,22050,135000
2007-04-17,21890,134000
2007-04-18,22870,140000
2007-04-19,24010,147000
2007-04-20,23030,141000
2007-04-23,22210,136000
2007-04-24,22540,138000
2007-04-25,22870,140000
2007-05-02,22700,139000
2007-05-03,22540,138000
2007-05-04,22540,138000
2007-05-07,23190,142000
2007-05-08,23520,144000
2007-05-09,23190,142000
2007-05-10,23030,141000
2007-05-11,24170,148000
2007-05-14,24830,152000
2007-05-15,24500,150000
2007-05-16,24340,149000
2007-05-17,25150,154000
2007-05-18,25640,157000
2007-05-21,26300,161000
2007-05-22,27440,168000
2007-05-23,26620,163000
2007-05-24,26130,160000
2007-05-25,27110,166000
2007-05-28,27110,166000
2007-05-29,27110,166000
2007-05-30,26300,161000
2007-05-31,26300,161000
2007-06-01,25480,156000
2007-06-04,24340,149000
2007-06-05,23520,144000
2007-06-06,23520,144000
2007-06-07,24620,78500
2007-06-08,24620,78500
2007-06-11,23520,75000
2007-06-12,22740,72500
2007-06-13,23370,74500
2007-06-14,23520,75000
2007-06-15,23210,74000
2007-06-18,22890,73000
2007-06-19,22580,72000
2007-06-20,22270,71000
2007-06-21,21480,68500
2007-06-22,21010,67000
2007-06-25,21480,68500
2007-06-26,21800,69500
2007-06-27,21330,68000
2007-06-28,21010,67000
2007-06-29,20700,66000
2007-07-02,19920,63500
2007-07-03,19130,61000
2007-07-04,20070,64000
2007-07-05,19600,62500
2007-07-06,19440,62000
2007-07-09,19760,63000
2007-07-10,19920,63500
2007-07-11,20070,64000
2007-07-12,19760,63000
2007-07-13,19760,63000
2007-07-16,19290,61500
2007-07-17,19440,62000
2007-07-18,19440,62000
2007-07-19,19130,61000
2007-07-20,19130,61000
2007-07-23,18970,60500
2007-07-24,18820,60000
2007-07-25,18660,59500
2007-07-26,18350,58500
2007-07-27,18350,58500
2007-07-30,17880,57000
2007-07-31,17090,54500
2007-08-01,17880,57000
2007-08-02,17880,57000
2007-08-03,17560,56000
2007-08-06,17250,55000
2007-08-07,17560,56000
2007-08-08,17560,56000
2007-08-09,18030,57500
2007-08-10,17880,57000
2007-08-13,17560,56000
2007-08-14,17720,56500
2007-08-15,17560,56000
2007-08-16,17250,55000
2007-08-17,16780,53500
2007-08-20,16310,52000
2007-08-21,16470,52500
2007-08-22,16000,51000
2007-08-23,16000,51000
2007-08-24,16780,53500
2007-08-27,16780,53500
2007-08-28,16620,53000
2007-08-29,16620,53000
2007-08-30,16620,53000
2007-08-31,16780,53500
2007-09-04,17250,55000
2007-09-05,17090,54500
2007-09-06,17250,55000
2007-09-07,17250,55000
2007-09-10,17250,55000
2007-09-11,17090,54500
2007-09-12,17250,55000
2007-09-13,17250,55000
2007-09-14,17410,55500
2007-09-17,17720,56500
2007-09-18,18500,59000
2007-09-19,19290,61500
2007-09-20,20230,64500
2007-09-21,19920,63500
2007-09-24,20860,66500
2007-09-25,21800,69500
2007-09-26,22270,71000
2007-09-27,21480,68500
2007-09-28,21950,70000
2007-10-01,22110,70500
2007-10-02,21800,69500
2007-10-03,21640,69000
2007-10-04,21480,68500
2007-10-05,21330,68000
2007-10-08,22270,71000
2007-10-09,23210,74000
2007-10-10,22740,72500
2007-10-11,22890,73000
2007-10-12,22890,73000
2007-10-15,22740,72500
2007-10-16,22420,71500
2007-10-17,22270,71000
2007-10-18,21640,69000
2007-10-19,22580,72000
2007-10-22,22110,70500
2007-10-23,21800,69500
2007-10-24,21950,70000
2007-10-25,21800,69500
2007-10-26,21800,69500
2007-10-29,21480,68500
2007-10-30,21330,68000
2007-10-31,21170,67500
2007-11-01,21800,69500
2007-11-02,21330,68000
2007-11-05,21010,67000
2007-11-06,20700,66000
2007-11-07,21010,67000
2007-11-08,21010,67000
2007-11-09,20700,66000
2007-11-12,19920,63500
2007-11-13,19130,61000
2007-11-14,20070,64000
2007-11-15,20860,66500
2007-11-16,20390,65000
2007-11-19,20390,65000
2007-11-20,20230,64500
2007-11-21,20070,64000
2007-11-22,20390,65000
2007-11-23,21010,67000
2007-11-26,21640,69000
2007-11-27,21170,67500
2007-11-28,21330,68000
2007-11-29,21480,68500
2007-11-30,21480,68500
2007-12-03,21950,70000
2007-12-04,21950,70000
2007-12-05,21480,68500
2007-12-06,21330,68000
2007-12-07,21480,68500
2007-12-10,21170,67500
2007-12-11,20860,66500
2007-12-12,20860,66500
2007-12-13,20540,65500
2007-12-14,20700,66000
2007-12-17,20540,65500
2007-12-18,20540,65500
2007-12-19,21170,67500
2007-12-20,20700,66000
2007-12-21,20860,66500
2007-12-24,20860,66500
2007-12-25,20230,64500
2007-12-26,20540,65500
2007-12-27,20390,65000
2007-12-28,20540,65500
2008-01-02,20230,64500
2008-01-03,19920,63500
2008-01-04,20070,64000
2008-01-07,19600,62500
2008-01-08,19760,63000
2008-01-09,19290,61500
2008-01-10,18970,60500
2008-01-11,19290,61500
2008-01-14,18820,60000
2008-01-15,18190,58000
2008-01-16,18970,60500
2008-01-17,19130,61000
2008-01-18,19440,62000
2008-01-21,19290,61500
2008-01-22,18820,60000
2008-01-23,18350,58500
2008-01-24,18030,57500
2008-01-25,18350,58500
2008-01-28,18660,59500
2008-01-29,19290,61500
2008-01-30,20230,64500
2008-01-31,20230,64500
2008-02-01,20230,64500
2008-02-12,19600,62500
2008-02-13,19290,61500
2008-02-14,19440,62000
2008-02-15,19290,61500
2008-02-18,18500,59000
2008-02-19,18350,58500
2008-02-20,17560,56000
2008-02-21,16780,53500
2008-02-22,16620,53000
2008-02-25,17410,55500
2008-02-26,16620,53000
2008-02-27,16470,52500
2008-02-28,16310,52000
2008-02-29,16150,51500
2008-03-03,15370,49000
2008-03-04,14620,46600
2008-03-05,13890,44300
2008-03-06,14580,46500
2008-03-07,15300,48800
2008-03-10,15840,50500
2008-03-11,15050,48000
2008-03-12,15370,49000
2008-03-13,15430,49200
2008-03-14,15300,48800
2008-03-17,14550,46400
2008-03-18,13830,44100
2008-03-19,13170,42000
2008-03-20,12610,40200
2008-03-21,11980,38200
2008-03-24,11380,36300
2008-03-25,10820,34500
2008-03-26,11350,36200
2008-03-27,11450,36500
2008-03-28,11540,36800
2008-03-31,11640,37100
2008-04-01,11730,37400
2008-04-02,11820,37700
2008-04-03,11920,38000
2008-04-04,12010,38300
2008-04-07,12230,39000
2008-04-08,12450,39700
2008-04-09,12670,40400
2008-04-10,12420,39600
2008-04-11,12200,38900
2008-04-16,11980,38200
2008-04-17,12200,38900
2008-04-18,11980,38200
2008-04-21,11760,37500
2008-04-22,11540,36800
2008-04-23,11320,36100
2008-04-24,11100,35400
2008-04-25,10880,34700
2008-04-28,10690,34100
2008-04-29,10510,33500
2008-05-05,10320,32900
2008-05-06,10130,32300
2008-05-07,9940,31700
2008-05-08,9750,31100
2008-05-09,9570,30500
2008-05-12,9380,29900
2008-05-13,9220,29400
2008-05-14,9060,28900
2008-05-15,8910,28400
2008-05-16,8750,27900
2008-05-19,8590,27400
2008-05-20,8440,26900
2008-05-21,8280,26400
2008-05-22,8120,25900
2008-05-23,7970,25400
2008-05-26,7810,24900
2008-05-27,7810,24900
2008-05-28,7810,24900
2008-05-29,7810,24900
2008-05-30,7680,24500
2008-06-02,7560,24100
2008-06-03,7430,23700
2008-06-04,7310,23300
2008-06-05,7180,22900
2008-06-06,7060,22500
2008-06-09,6930,22100
2008-06-10,6810,21700
2008-06-11,6680,21300
2008-06-12,6550,20900
2008-06-13,6430,20500
2008-06-16,6550,20900
2008-06-17,6680,21300
