date,adjusted_price,unadjusted_price
2018-06-04,15790,102400
2018-06-05,14800,96000
2018-06-06,14190,92000
2018-06-07,15170,98400
2018-06-08,16220,105200
2018-06-11,16810,109000
2018-06-12,16190,105000
2018-06-13,16250,105400
2018-06-14,16190,105000
2018-06-15,16220,105200
2018-06-18,15420,100000
2018-06-19,14650,95000
2018-06-20,14680,95200
2018-06-21,14680,95200
2018-06-22,14650,95000
2018-06-25,14790,95900
2018-06-26,14650,95000
2018-06-27,14430,93600
2018-06-28,14220,92200
2018-06-29,14140,91700
2018-07-02,13550,87900
2018-07-03,12610,81800
2018-07-04,12490,81000
2018-07-05,13020,28150
2018-07-06,13320,28800
2018-07-09,13190,28500
2018-07-10,12790,27650
2018-07-11,11910,25750
2018-07-12,12030,26000
2018-07-13,12120,26200
2018-07-16,12120,26200
2018-07-17,12540,27100
2018-07-18,12930,27950
2018-07-19,12910,27900
2018-07-20,12910,27900
2018-07-23,12310,26600
2018-07-24,12210,26400
2018-07-25,12380,26750
2018-07-26,11940,25800
2018-07-27,12010,25950
2018-07-30,12080,26100
2018-07-31,12860,27800
2018-08-01,12750,27550
2018-08-02,13190,28500
2018-08-03,13120,28350
2018-08-06,12950,28000
2018-08-07,12930,27950
2018-08-08,12840,27750
2018-08-09,12680,27400
2018-08-10,12580,27200
2018-08-13,12700,27450
2018-08-14,12580,27200
2018-08-15,12260,26500
2018-08-16,12260,26500
2018-08-17,12260,26500
2018-08-20,12260,26500
2018-08-21,12260,26500
2018-08-22,12330,26650
2018-08-23,12380,26750
2018-08-24,12310,26600
2018-08-27,12260,26500
2018-08-28,12140,26250
2018-08-29,12100,26150
2018-08-30,12170,26300
2018-08-31,12170,26300
2018-09-04,12080,26100
2018-09-05,11940,25800
2018-09-06,11470,24800
2018-09-07,11680,25250
2018-09-10,11800,25500
2018-09-11,11750,25400
2018-09-12,11570,25000
2018-09-13,11660,25200
2018-09-14,11680,25250
2018-09-17,12050,26050
2018-09-18,12100,26150
2018-09-19,12310,26600
2018-09-20,12950,28000
2018-09-21,13090,28300
2018-09-24,13000,28100
2018-09-25,12950,28000
2018-09-26,13370,28900
2018-09-27,13600,29400
2018-09-28,13490,29150
2018-10-01,13260,28650
2018-10-02,13460,29100
2018-10-03,13580,29350
2018-10-04,13970,30200
2018-10-05,13790,29800
2018-10-08,13580,29350
2018-10-09,13760,29750
2018-10-10,13740,29700
2018-10-11,12880,27850
2018-10-12,13280,28700
2018-10-15,13050,28200
