date,adjusted_price,unadjusted_price
2009-12-24,6090,41000
2009-12-25,6090,41000
2009-12-28,6040,40700
2009-12-29,6010,40500
2009-12-30,5940,40000
2009-12-31,6130,41300
2010-01-04,6160,41500
2010-01-05,6180,41600
2010-01-06,6470,43600
2010-01-07,6780,45700
2010-01-08,7110,47900
2010-01-11,7420,50000
2010-01-12,7050,47500
2010-01-13,7390,49800
2010-01-14,7130,48000
2010-01-15,6980,47000
2010-01-18,6630,42300
2010-01-19,6630,42300
2010-01-20,6590,42000
2010-01-21,6270,40000
2010-01-22,6270,40000
2010-01-25,5990,38200
2010-01-26,6290,40100
2010-01-27,6270,40000
2010-01-28,6120,39000
2010-01-29,6150,39200
2010-02-01,6190,39500
2010-02-02,6120,39000
2010-02-03,6160,39300
2010-02-04,6270,40000
2010-02-05,6190,39500
2010-02-08,6190,39500
2010-02-09,6120,39000
2010-02-10,6050,38600
2010-02-11,6120,39000
2010-02-12,6270,40000
2010-02-22,6350,40500
2010-02-23,6070,38700
2010-02-24,6120,39000
2010-02-25,6120,39000
2010-02-26,6120,39000
2010-03-01,6120,39000
2010-03-02,6080,38800
2010-03-03,6180,39400
2010-03-04,6120,39000
2010-03-05,6220,39700
2010-03-08,6520,41600
2010-03-09,6840,43600
2010-03-10,6740,43000
2010-03-11,6660,42500
2010-03-12,6990,44600
2010-03-15,7230,46100
2010-03-16,6900,44000
2010-03-17,6760,43100
2010-03-18,6900,44000
2010-03-19,7060,45000
2010-03-22,6980,44500
2010-03-23,6950,44300
2010-03-24,6950,44300
2010-03-25,6810,43400
2010-03-26,6710,42800
2010-03-29,6710,42800
2010-03-30,6880,43900
2010-03-31,6900,44000
2010-04-01,6740,43000
2010-04-02,6460,41200
2010-04-05,6770,43200
2010-04-06,6740,43000
2010-04-07,6710,42800
2010-04-08,6760,43100
2010-04-09,6960,44400
2010-04-12,6770,43200
2010-04-13,6710,42800
2010-04-14,6740,43000
2010-04-15,6700,42700
2010-04-16,6870,43800
2010-04-19,7060,45000
2010-04-20,7310,46600
2010-04-21,7090,45200
2010-04-22,7310,46600
2010-04-26,7670,48900
2010-04-27,7840,50000
2010-04-28,7650,48800
2010-04-29,7680,49000
2010-05-04,7680,49000
2010-05-05,7530,48000
2010-05-06,7400,47200
2010-05-07,7280,46400
2010-05-10,7370,47000
2010-05-11,7450,47500
2010-05-12,7200,45900
2010-05-13,7130,45500
