date,adjusted_price,unadjusted_price
2016-04-01,4970,10000
2016-04-04,4970,10000
2016-04-05,4970,10000
2016-04-06,4970,10000
2016-04-07,4970,10000
2016-04-08,6810,13700
2016-04-11,7700,15500
2016-04-12,8850,17800
2016-04-13,10140,20400
2016-04-14,11180,22500
2016-04-15,12820,25800
2016-04-19,14610,29400
2016-04-20,16800,33800
2016-04-21,17400,35000
2016-04-22,19780,39800
2016-04-25,19380,39000
2016-04-26,19380,39000
2016-04-27,19380,39000
2016-04-28,16650,33500
2016-04-29,16650,33500
2016-05-04,16650,33500
2016-05-05,14170,28500
2016-05-06,14170,28500
2016-05-09,14170,28500
2016-05-10,14170,28500
2016-05-11,14170,28500
2016-05-12,14170,28500
2016-05-13,14170,28500
2016-05-16,14170,28500
2016-05-17,14170,28500
2016-05-18,14170,28500
2016-05-19,14170,28500
2016-05-20,12080,24300
2016-05-23,12080,24300
2016-05-24,12080,24300
2016-05-25,12080,24300
2016-05-26,12080,24300
2016-05-27,12080,24300
2016-05-30,12080,24300
2016-05-31,12080,24300
2016-06-01,10290,20700
2016-06-02,8750,17600
2016-06-03,7460,15000
2016-06-06,6360,12800
2016-06-07,7310,14700
2016-06-08,7310,14700
2016-06-09,7310,14700
2016-06-10,8400,16900
2016-06-13,8400,16900
2016-06-14,8400,16900
2016-06-15,8400,16900
2016-06-16,9640,19400
2016-06-17,11080,22300
2016-06-20,11080,22300
2016-06-21,12180,24500
2016-06-22,12180,24500
2016-06-23,12180,24500
2016-06-24,12920,26000
2016-06-27,12920,26000
2016-06-28,12920,26000
2016-06-29,12920,26000
2016-06-30,12920,26000
2016-07-01,12920,26000
2016-07-04,10980,22100
2016-07-05,10980,22100
2016-07-06,10980,22100
2016-07-07,10980,22100
2016-07-08,9490,19100
2016-07-11,9490,19100
2016-07-12,9490,19100
2016-07-13,9490,19100
2016-07-14,9490,19100
2016-07-15,9490,19100
2016-07-18,9490,19100
2016-07-19,9490,19100
2016-07-20,9490,19100
2016-07-21,9490,19100
2016-07-22,9490,19100
2016-07-25,9490,19100
2016-07-26,9490,19100
2016-07-27,9490,19100
2016-07-28,9490,19100
2016-07-29,9490,19100
2016-08-01,9490,19100
2016-08-02,9490,19100
2016-08-03,9490,19100
2016-08-04,9490,19100
2016-08-05,9490,19100
2016-08-08,9490,19100
2016-08-09,9490,19100
2016-08-10,9490,19100
2016-08-11,10890,21900
2016-08-12,12480,25100
2016-08-15,12480,25100
2016-08-16,12480,25100
2016-08-17,14310,28800
2016-08-18,14310,28800
2016-08-19,14310,28800
2016-08-22,14310,28800
2016-08-23,14310,28800
2016-08-24,14310,28800
2016-08-25,14310,28800
2016-08-26,14310,28800
2016-08-29,16450,33100
2016-08-30,16450,33100
2016-08-31,16450,33100
2016-09-01,16450,33100
2016-09-05,16450,33100
2016-09-06,16450,33100
2016-09-07,16450,33100
2016-09-08,14020,28200
2016-09-09,11930,24000
2016-09-12,10140,20400
2016-09-13,8650,17400
2016-09-14,8650,17400
2016-09-15,8650,17400
2016-09-16,8950,18000
2016-09-19,8950,18000
2016-09-20,8950,18000
2016-09-21,8950,18000
2016-09-22,8950,18000
2016-09-23,8950,18000
2016-09-26,7750,15600
2016-09-27,8900,17900
2016-09-28,8450,17000
2016-09-29,8450,17000
2016-09-30,8950,18000
2016-10-03,9690,19500
2016-10-04,9940,20000
2016-10-05,9940,20000
2016-10-06,9940,20000
2016-10-07,9940,20000
2016-10-10,9940,20000
2016-10-11,10940,22000
2016-10-12,10940,22000
2016-10-13,10940,22000
2016-10-14,12580,25300
2016-10-17,12580,25300
2016-10-18,12580,25300
2016-10-19,12580,25300
2016-10-20,12430,25000
2016-10-21,12430,25000
2016-10-24,12430,25000
2016-10-25,12430,25000
2016-10-26,12430,25000
2016-10-27,12430,25000
2016-10-28,14220,28600
2016-10-31,14220,28600
2016-11-01,14220,28600
2016-11-02,14220,28600
2016-11-03,16300,32800
2016-11-04,16300,32800
2016-11-07,16300,32800
2016-11-08,16300,32800
2016-11-09,16300,32800
2016-11-10,16300,32800
2016-11-11,16300,32800
2016-11-14,18140,36500
2016-11-15,15160,30500
2016-11-16,15160,30500
2016-11-17,15160,30500
2016-11-18,15160,30500
2016-11-21,15160,30500
2016-11-22,15160,30500
2016-11-23,12920,26000
2016-11-24,10980,22100
2016-11-25,10980,22100
2016-11-28,10980,22100
2016-11-29,12430,25000
2016-11-30,12430,25000
2016-12-01,12430,25000
2016-12-02,12430,25000
2016-12-05,12430,25000
2016-12-06,10590,21300
2016-12-07,9940,20000
2016-12-08,9940,20000
2016-12-09,9940,20000
2016-12-12,9940,20000
2016-12-13,10940,22000
2016-12-14,10940,22000
2016-12-15,11930,24000
2016-12-16,11930,24000
2016-12-19,11930,24000
2016-12-20,11930,24000
2016-12-21,11930,24000
2016-12-22,11930,24000
2016-12-23,11930,24000
2016-12-26,11930,24000
2016-12-27,11930,24000
2016-12-28,11930,24000
2016-12-29,11930,24000
2016-12-30,11930,24000
2017-01-03,11930,24000
2017-01-04,11930,24000
2017-01-05,11930,24000
2017-01-06,11930,24000
2017-01-09,11930,24000
2017-01-10,12430,25000
2017-01-11,12430,25000
2017-01-12,12430,25000
2017-01-13,12430,25000
2017-01-16,12430,25000
2017-01-17,12430,25000
2017-01-18,12430,25000
2017-01-19,12430,25000
2017-01-20,12430,25000
2017-01-23,12430,25000
2017-01-24,12430,25000
