date,adjusted_price,unadjusted_price
2009-06-30,9060,60000
2009-07-01,9130,60500
2009-07-02,8760,58000
2009-07-03,8450,56000
2009-07-06,8830,58500
2009-07-07,8530,56500
2009-07-08,8380,55500
2009-07-09,8150,54000
2009-07-10,7780,51500
2009-07-13,7400,49000
2009-07-14,7220,47800
2009-07-15,7400,49000
2009-07-16,7520,49800
2009-07-17,7410,49100
2009-07-20,7070,46800
2009-07-21,7080,46900
2009-07-22,7170,47500
2009-07-23,7520,49800
2009-07-24,7850,52000
2009-07-27,8230,54500
2009-07-28,8000,53000
2009-07-29,7930,52500
2009-07-30,7780,51500
2009-07-31,8150,54000
2009-08-03,8530,56500
2009-08-04,8830,58500
2009-08-05,8760,58000
2009-08-06,8610,57000
2009-08-07,8530,56500
2009-08-10,8680,57500
2009-08-11,8610,57000
2009-08-12,8530,56500
2009-08-13,8610,57000
2009-08-14,8610,57000
2009-08-17,8450,56000
2009-08-18,8380,55500
2009-08-19,8380,55500
2009-08-20,8380,55500
2009-08-21,8450,56000
2009-08-24,8530,56500
2009-08-25,8380,55500
2009-08-26,8450,56000
2009-08-27,8450,56000
2009-08-28,8530,56500
2009-08-31,8680,57500
2009-09-01,8610,57000
2009-09-03,8450,56000
2009-09-04,8230,54500
2009-09-07,8000,53000
2009-09-08,8080,53500
2009-09-09,8080,53500
2009-09-10,8000,53000
2009-09-11,8000,53000
2009-09-14,8000,53000
2009-09-15,7930,52500
2009-09-16,8300,55000
2009-09-17,8450,56000
2009-09-18,8530,56500
2009-09-21,8300,55000
2009-09-22,8150,54000
2009-09-23,8230,54500
2009-09-24,8080,53500
2009-09-25,8380,55500
2009-09-28,8230,54500
2009-09-29,8150,54000
2009-09-30,8080,53500
2009-10-01,7930,52500
2009-10-02,7700,51000
2009-10-05,7700,51000
2009-10-06,7620,50500
2009-10-07,7700,51000
2009-10-08,7700,51000
2009-10-09,7780,51500
2009-10-12,8000,53000
2009-10-13,7850,52000
2009-10-14,8230,54500
2009-10-15,8610,57000
2009-10-16,8530,56500
2009-10-19,8300,55000
2009-10-20,8230,54500
2009-10-21,8150,54000
2009-10-22,8300,55000
2009-10-23,8530,56500
2009-10-26,8300,55000
2009-10-27,8000,53000
2009-10-28,8000,53000
2009-10-29,7700,51000
2009-10-30,7850,52000
2009-11-02,8000,53000
2009-11-03,7780,51500
2009-11-04,7780,51500
2009-11-05,8000,53000
2009-11-06,7780,51500
2009-11-09,7620,50500
2009-11-10,7490,49600
2009-11-11,7550,50000
2009-11-12,7620,50500
2009-11-13,7520,49800
2009-11-16,7490,49600
2009-11-17,7380,48900
2009-11-18,7290,48300
2009-11-19,7380,48900
2009-11-20,7280,48200
2009-11-23,7130,47200
2009-11-24,6990,46300
2009-11-25,6640,44000
2009-11-26,6310,41800
2009-11-27,6610,43800
2009-11-30,6930,45900
2009-12-01,7260,48100
2009-12-02,7100,47000
2009-12-03,7100,47000
2009-12-04,6980,46200
2009-12-07,6940,46000
2009-12-08,6750,44700
2009-12-09,6490,43000
2009-12-10,6450,42700
2009-12-11,6160,40800
2009-12-14,6460,42800
2009-12-15,6780,44900
2009-12-16,6490,43000
2009-12-17,6640,44000
2009-12-18,6980,46200
2009-12-21,7190,47600
2009-12-22,7040,46600
2009-12-23,6980,46200
2009-12-24,6940,46000
2009-12-25,7100,47000
2009-12-28,6940,46000
2009-12-29,6820,45200
2009-12-30,6880,45600
2009-12-31,7100,47000
2010-01-04,7440,49300
2010-01-05,7520,49800
2010-01-06,7250,48000
2010-01-07,7100,47000
2010-01-08,7100,47000
2010-01-11,7100,47000
2010-01-12,6870,45500
2010-01-13,7100,47000
2010-01-14,7010,46400
2010-01-15,6840,45300
2010-01-18,6570,43500
2010-01-19,6750,44700
2010-01-20,6610,43800
2010-01-21,6490,43000
2010-01-22,6420,42500
2010-01-25,6420,42500
2010-01-26,6460,42800
2010-01-27,6460,42800
2010-01-28,6390,42300
2010-01-29,6340,42000
2010-02-01,6310,41800
2010-02-02,6390,42300
2010-02-03,6570,43500
2010-02-04,6720,44500
2010-02-05,6600,43700
2010-02-08,6600,43700
2010-02-09,6430,42600
2010-02-10,6570,43500
2010-02-11,6720,44500
2010-02-12,6720,44500
2010-02-22,6820,45200
2010-02-23,6820,45200
2010-02-24,7020,46500
2010-02-25,7100,47000
2010-02-26,7400,49000
2010-03-01,7520,49800
2010-03-02,7160,47400
2010-03-03,7220,47800
2010-03-04,7110,47100
2010-03-05,7080,46900
2010-03-08,7080,46900
2010-03-09,7250,48000
2010-03-10,7420,47900
2010-03-11,7360,47500
2010-03-12,7360,47500
2010-03-15,7280,47000
2010-03-16,7090,45800
2010-03-17,6970,45000
2010-03-18,6980,45100
2010-03-19,6910,44600
2010-03-22,6940,44800
2010-03-23,6950,44900
2010-03-24,7000,45200
2010-03-25,6840,44200
2010-03-26,7050,45500
2010-03-29,6950,44900
2010-03-30,6840,44200
2010-03-31,6810,44000
2010-04-01,6840,44200
2010-04-02,6860,44300
2010-04-05,6920,44700
2010-04-06,6890,44500
2010-04-07,6860,44300
2010-04-08,6800,43900
2010-04-09,6810,44000
2010-04-12,6890,44500
2010-04-13,6800,43900
2010-04-14,6750,43600
2010-04-15,6750,43600
2010-04-16,6690,43200
2010-04-19,6630,42800
2010-04-20,6570,42400
2010-04-21,6580,42500
2010-04-22,6780,43800
2010-04-26,6720,43400
2010-04-27,6800,43900
2010-04-28,6740,43500
2010-04-29,6660,43000
2010-05-04,6840,44200
2010-05-05,6700,43300
2010-05-06,6640,42900
2010-05-07,6580,42500
2010-05-10,6580,42500
2010-05-11,6580,42500
2010-05-12,6430,41500
2010-05-13,6460,41700
2010-05-14,6460,41700
2010-05-17,6410,41400
2010-05-18,6410,41400
2010-05-19,6290,40600
2010-05-20,6320,40800
2010-05-21,6050,39100
2010-05-24,6190,40000
2010-05-25,6220,40200
2010-05-26,6190,40000
2010-05-27,6210,40100
2010-05-28,6350,41000
2010-05-31,6320,40800
2010-06-01,6350,41000
2010-06-02,6350,41000
2010-06-03,6350,41000
2010-06-04,6420,38800
2010-06-07,6270,37900
2010-06-08,6250,37800
2010-06-09,6240,37700
2010-06-10,6250,37800
2010-06-11,6320,38200
2010-06-14,6300,38100
2010-06-15,6400,38700
2010-06-16,6540,39500
2010-06-17,6680,40400
2010-06-18,6620,40000
2010-06-21,6640,40100
2010-06-22,6650,40200
2010-06-23,6620,40000
2010-06-24,6620,40000
2010-06-25,6370,38500
2010-06-28,6540,39500
2010-06-29,6850,41400
2010-06-30,6820,41200
2010-07-01,6540,39500
2010-07-02,6520,39400
2010-07-05,6590,39800
2010-07-06,6470,39100
2010-07-07,6450,39000
2010-07-08,6450,39000
2010-07-09,6440,38900
2010-07-12,6390,38600
2010-07-13,6620,40000
2010-07-14,6400,38700
2010-07-15,6450,39000
2010-07-16,6470,39100
2010-07-19,6520,39400
2010-07-20,6490,39200
2010-07-21,6400,38700
2010-07-22,6320,38200
2010-07-23,6290,38000
2010-07-26,6160,37200
2010-07-27,6120,37000
2010-07-28,6110,36900
2010-07-29,6120,37000
2010-07-30,6210,37500
2010-08-02,6120,37000
2010-08-03,6110,36900
2010-08-04,6120,37000
2010-08-05,6160,37200
2010-08-06,6160,37200
2010-08-09,5910,35700
2010-08-10,5740,34700
2010-08-11,5760,34800
2010-08-12,5740,34700
2010-08-13,5730,34600
2010-08-16,5910,35700
2010-08-17,6040,36500
2010-08-18,5970,36100
2010-08-19,5970,36100
2010-08-20,6140,37100
2010-08-23,6120,37000
2010-08-24,6040,36500
2010-08-25,5960,36000
2010-08-26,5970,36100
2010-08-27,6090,36800
2010-08-30,6250,37800
2010-08-31,6350,38400
2010-09-01,6350,38400
2010-09-06,6290,38000
2010-09-07,6190,37400
2010-09-08,6290,38000
2010-09-09,6270,37900
2010-09-10,6120,37000
2010-09-13,6190,37400
2010-09-14,6170,37300
2010-09-15,6160,37200
2010-09-16,6060,36600
2010-09-17,6220,37600
2010-09-20,6090,36800
2010-09-21,5890,35600
2010-09-22,5960,36000
2010-09-23,6110,36900
2010-09-24,6040,36500
2010-09-27,5960,36000
2010-09-28,6040,36500
2010-09-29,6020,36400
2010-09-30,5990,36200
2010-10-01,5960,36000
2010-10-04,5960,36000
2010-10-05,5990,36200
2010-10-06,6090,36800
2010-10-07,6040,36500
2010-10-08,6040,36500
2010-10-11,6040,36500
2010-10-12,5960,36000
2010-10-13,6020,36400
2010-10-14,6020,36400
2010-10-15,6020,36400
2010-10-18,5940,35900
2010-10-19,5870,35500
2010-10-20,5770,34900
2010-10-21,5790,35000
2010-10-22,5760,34800
2010-10-25,5640,34100
