date,adjusted_price,unadjusted_price
2007-12-17,3180,84500
2007-12-18,3230,85800
2007-12-19,3200,85000
2007-12-20,3200,85000
2007-12-21,3050,81000
2007-12-24,2950,78500
2007-12-25,2990,79500
2007-12-26,2970,79000
2007-12-27,2900,77200
2007-12-28,2930,78000
2008-01-02,2990,79500
2008-01-03,2840,75500
2008-01-04,2550,67900
2008-01-07,2410,64000
2008-01-08,2610,69500
2008-01-09,2410,64100
2008-01-10,2480,66000
2008-01-11,2520,67000
2008-01-14,2450,65000
2008-01-15,2260,60000
2008-01-16,2510,66700
2008-01-17,2540,67500
2008-01-18,2480,66000
2008-01-21,2460,65500
2008-01-22,2370,63000
2008-01-23,2300,61000
2008-01-24,2280,60500
2008-01-25,2390,63400
2008-01-28,2370,63000
2008-01-29,2480,65900
2008-01-30,2690,71500
2008-01-31,2670,71000
2008-02-01,2800,74500
2008-02-12,2630,70000
2008-02-13,2480,66000
2008-02-14,2460,65500
2008-02-15,2400,63700
2008-02-18,2300,61000
2008-02-19,2300,61000
2008-02-20,2060,54700
2008-02-21,1940,51600
2008-02-22,1920,51100
2008-02-25,1960,52200
2008-02-26,1920,51000
2008-02-27,1960,52000
2008-02-28,1960,52000
2008-02-29,1880,50000
2008-03-03,1700,45200
2008-03-04,1540,41000
2008-03-05,1490,39500
2008-03-06,1570,41600
2008-03-07,1720,45700
2008-03-10,1880,46700
2008-03-11,1810,44900
2008-03-12,1970,48800
2008-03-13,1970,48800
2008-03-14,1950,48500
2008-03-17,1760,43800
2008-03-18,1610,40000
2008-03-19,1610,40000
2008-03-20,1520,37800
2008-03-21,1450,36000
2008-03-24,1370,34000
2008-03-25,1240,30700
2008-03-26,1370,34000
2008-03-27,1340,33300
2008-03-28,1370,33900
2008-03-31,1390,34500
2008-04-01,1410,35100
2008-04-02,1440,35800
2008-04-03,1470,36500
2008-04-04,1500,37200
2008-04-07,1540,38300
2008-04-08,1590,39400
2008-04-09,1630,40000
2008-04-10,1580,38700
2008-04-11,1540,37700
2008-04-16,1490,36600
2008-04-17,1530,37600
2008-04-18,1450,35600
