date,adjusted_price,unadjusted_price
2018-07-02,11810,26000
2018-07-03,10490,23100
2018-07-04,11130,24500
2018-07-05,10950,24100
2018-07-06,10900,24000
2018-07-09,10900,24000
2018-07-10,10630,23400
2018-07-11,10450,23000
2018-07-12,10310,22700
2018-07-13,10400,22900
2018-07-16,9860,21700
2018-07-17,10450,23000
2018-07-18,10220,22500
2018-07-19,10360,22800
2018-07-20,10220,22500
2018-07-23,10400,22900
2018-07-24,10400,22900
2018-07-25,10360,22800
2018-07-26,10450,23000
2018-07-27,10270,22600
2018-07-30,10180,22400
2018-07-31,8810,19400
2018-08-01,10450,23000
2018-08-02,10450,23000
2018-08-03,10490,23100
2018-08-06,10810,23800
2018-08-07,11400,25100
2018-08-08,11950,25900
2018-08-09,11760,25500
2018-08-10,11580,25100
2018-08-13,11900,25800
2018-08-14,12920,28000
2018-08-15,13380,29000
2018-08-16,13790,29900
2018-08-17,14250,30900
2018-08-20,13840,30000
2018-08-21,13700,29700
2018-08-22,13650,29600
2018-08-23,13930,30200
2018-08-24,13880,30100
2018-08-27,13610,29500
2018-08-28,13330,28900
2018-08-29,13050,28300
2018-08-30,13790,29900
2018-08-31,13700,29700
2018-09-04,13790,29900
2018-09-05,13610,29500
2018-09-06,13650,29600
2018-09-07,13560,29400
2018-09-10,13610,29500
2018-09-11,13700,29700
2018-09-12,13610,29500
2018-09-13,13610,29500
2018-09-14,13610,29500
2018-09-17,13380,29000
2018-09-18,13470,29200
2018-09-19,13790,29900
2018-09-20,14350,31100
2018-09-21,15450,33500
2018-09-24,15910,34500
2018-09-25,16380,35500
2018-09-26,16330,35400
2018-09-27,15960,34600
2018-09-28,15730,34100
2018-10-01,15220,33000
2018-10-02,15360,33300
2018-10-03,16330,35400
2018-10-04,16560,35900
2018-10-05,16140,35000
2018-10-08,15780,34200
2018-10-09,16100,34900
2018-10-10,16280,35300
2018-10-11,15220,33000
2018-10-12,16280,35300
2018-10-15,15780,34200
2018-10-16,16100,34900
2018-10-17,15870,34400
2018-10-18,15680,34000
2018-10-19,15680,34000
2018-10-22,15960,34600
2018-10-23,15640,33900
2018-10-24,15540,33700
2018-10-25,15180,32900
2018-10-26,15040,32600
2018-10-29,15080,32700
2018-10-30,15040,32600
2018-10-31,15870,34400
2018-11-01,16420,35600
2018-11-02,16610,36000
2018-11-05,16100,34900
2018-11-06,16140,35000
2018-11-07,15820,34300
2018-11-08,16050,34800
2018-11-09,15870,34400
2018-11-12,16010,34700
2018-11-13,16240,35200
2018-11-14,16330,35400
2018-11-15,16930,36700
2018-11-16,17530,38000
2018-11-19,17670,38300
2018-11-20,17300,37500
2018-11-21,17160,37200
2018-11-22,17110,37100
2018-11-23,17020,36900
2018-11-26,16970,36800
2018-11-27,17250,37400
2018-11-28,17670,38300
2018-11-29,17480,37900
2018-11-30,17670,38300
2018-12-03,17760,38500
2018-12-04,17620,38200
2018-12-05,17530,38000
2018-12-06,17110,37100
2018-12-07,17440,37800
2018-12-10,16930,36700
2018-12-11,17110,37100
2018-12-12,17210,37300
2018-12-13,17760,38500
2018-12-14,17710,38400
2018-12-17,17670,38300
2018-12-18,17570,38100
2018-12-19,17390,37700
2018-12-20,17480,37900
2018-12-21,17480,37900
2018-12-24,17070,37000
2018-12-25,16970,36800
2018-12-26,17530,38000
2018-12-27,17670,38300
2018-12-28,17990,39000
2019-01-02,17530,38000
2019-01-03,17250,37400
2019-01-04,17390,37700
2019-01-07,17340,37600
2019-01-08,17620,38200
2019-01-09,18220,39500
2019-01-10,18540,40200
2019-01-11,19230,41700
2019-01-14,19330,41900
2019-01-15,18910,41000
2019-01-16,19050,41300
2019-01-17,19000,41200
2019-01-18,19280,41800
2019-01-21,19370,42000
2019-01-22,20340,44100
2019-01-23,20200,43800
2019-01-24,20390,44200
2019-01-25,20530,44500
2019-01-28,21080,45700
2019-01-29,21400,46400
2019-01-30,21500,46600
2019-01-31,22600,49000
2019-02-01,22970,49800
2019-02-11,24220,52500
2019-02-12,23160,50200
2019-02-13,23020,49900
2019-02-14,22460,48700
2019-02-15,21960,47600
2019-02-18,21450,46500
2019-02-19,22510,48800
2019-02-20,22370,48500
2019-02-21,22280,48300
2019-02-22,22230,48200
2019-02-25,22560,48900
2019-02-26,23250,50400
2019-02-27,23250,50400
2019-02-28,22600,49000
2019-03-01,23250,50400
2019-03-04,23020,49900
2019-03-05,23060,50000
2019-03-06,22690,49200
2019-03-07,22930,49700
2019-03-08,22690,49200
2019-03-11,22510,48800
2019-03-12,22740,49300
2019-03-13,23480,50900
2019-03-14,23340,50600
2019-03-15,23290,50500
2019-03-18,23250,50400
2019-03-19,23340,50600
2019-03-20,23430,50800
2019-03-21,23620,51200
2019-03-22,23940,51900
2019-03-25,23990,52000
2019-03-26,24590,53300
2019-03-27,24450,53000
2019-03-28,24590,53300
2019-03-29,24260,52600
2019-04-01,23660,51300
2019-04-02,23760,51500
2019-04-03,23290,50500
2019-04-04,23340,50600
2019-04-05,23340,50600
2019-04-08,22370,48500
2019-04-09,23020,49900
2019-04-10,23110,50100
2019-04-11,23020,49900
2019-04-12,22790,49400
2019-04-16,22740,49300
2019-04-17,22600,49000
2019-04-18,22090,47900
2019-04-19,21960,47600
2019-04-22,21500,46600
2019-04-23,21960,47600
2019-04-24,22330,48400
2019-04-25,22690,49200
2019-04-26,22690,49200
2019-05-02,22370,48500
2019-05-03,22140,48000
2019-05-06,21590,46800
2019-05-07,22050,47800
2019-05-08,22090,47900
2019-05-09,22000,47700
2019-05-10,22140,48000
2019-05-13,22140,48000
2019-05-14,22090,47900
2019-05-15,22460,48700
2019-05-16,22830,49500
2019-05-17,23060,50000
2019-05-20,23020,49900
2019-05-21,23660,51300
2019-05-22,23520,51000
2019-05-23,23760,51500
2019-05-24,24030,52100
2019-05-27,23890,51800
2019-05-28,23940,51900
2019-05-29,24170,52400
2019-05-30,24170,52400
2019-05-31,24220,52500
2019-06-03,24220,52500
2019-06-04,23890,51800
2019-06-05,23710,51400
2019-06-06,23570,51100
2019-06-07,23850,51700
2019-06-10,24490,53100
2019-06-11,25600,55500
2019-06-12,25880,56100
2019-06-13,26200,56800
2019-06-14,26110,56600
2019-06-17,26290,57000
2019-06-18,26750,58000
2019-06-19,27490,59600
2019-06-20,27120,58800
2019-06-21,26850,58200
2019-06-24,27310,59200
2019-06-25,27680,60000
2019-06-26,27580,59800
2019-06-27,26750,58000
2019-06-28,26660,57800
2019-07-01,26940,58400
2019-07-02,26290,57000
2019-07-03,26890,58300
2019-07-04,26520,57500
2019-07-05,26750,58000
2019-07-08,26710,57900
2019-07-09,27120,58800
2019-07-10,27210,59000
2019-07-11,27540,59700
2019-07-12,27490,59600
2019-07-15,28640,62100
2019-07-16,28600,62000
2019-07-17,28410,61600
2019-07-18,28410,61600
2019-07-19,28370,61500
2019-07-22,28550,61900
2019-07-23,28600,62000
2019-07-24,28600,62000
2019-07-25,29520,64000
2019-07-26,29750,64500
2019-07-29,29060,63000
2019-07-30,27680,60000
2019-07-31,28140,61000
2019-08-01,27770,60200
2019-08-02,27350,59300
2019-08-05,27030,58600
2019-08-06,26980,58500
2019-08-07,27120,58800
2019-08-08,26850,58200
2019-08-09,26750,58000
2019-08-12,25460,55200
2019-08-13,23940,51900
2019-08-14,24910,54000
2019-08-15,24310,52700
2019-08-16,23940,51900
2019-08-19,22740,49300
2019-08-20,22460,48700
2019-08-21,23990,52000
2019-08-22,25140,54500
2019-08-23,25000,54200
2019-08-26,25000,54200
2019-08-27,25650,55600
2019-08-28,25830,56000
2019-08-29,25280,54800
2019-08-30,25460,55200
2019-09-03,23890,51800
2019-09-04,23660,51300
2019-09-05,23250,50400
2019-09-06,24030,52100
2019-09-09,23990,52000
2019-09-10,23850,51700
2019-09-11,23800,51600
2019-09-12,24170,52400
2019-09-13,24220,52500
2019-09-16,24540,53200
2019-09-17,24590,53300
2019-09-18,25050,54300
2019-09-19,25460,55200
2019-09-20,25320,54900
2019-09-23,24910,54000
2019-09-24,25090,54400
2019-09-25,25280,54800
2019-09-26,26060,56500
2019-09-27,26150,56700
2019-09-30,25320,54900
2019-10-01,25420,55100
2019-10-02,25600,55500
2019-10-03,25370,55000
2019-10-04,25320,54900
2019-10-07,25370,55000
2019-10-08,25370,55000
2019-10-09,25320,54900
2019-10-10,25550,55400
2019-10-11,25140,54500
2019-10-14,24910,54000
2019-10-16,24770,53700
2019-10-17,24860,53900
2019-10-18,24360,52800
2019-10-21,24030,52100
2019-10-22,24450,53000
2019-10-23,24540,53200
2019-10-24,24540,53200
2019-10-25,24490,53100
2019-10-28,24400,52900
2019-10-29,23520,51000
2019-10-30,23250,50400
2019-10-31,22600,49000
2019-11-01,22650,49100
2019-11-04,22600,49000
2019-11-05,22600,49000
2019-11-06,22600,49000
2019-11-07,23160,50200
2019-11-08,22830,49500
2019-11-11,22790,49400
2019-11-12,22690,49200
2019-11-13,22690,49200
2019-11-14,23020,49900
2019-11-15,23060,50000
2019-11-18,22830,49500
2019-11-19,22880,49600
2019-11-20,22930,49700
2019-11-21,22740,49300
2019-11-22,22140,48000
2019-11-25,22370,48500
2019-11-26,22140,48000
2019-11-27,22140,48000
2019-11-28,21770,47200
2019-11-29,21590,46800
2019-12-02,21630,46900
2019-12-03,22000,47700
2019-12-04,21960,47600
2019-12-05,21820,47300
2019-12-06,22140,48000
2019-12-09,22050,47800
2019-12-10,22050,47800
2019-12-11,22050,47800
2019-12-12,22230,48200
2019-12-13,22880,49600
2019-12-16,23020,49900
2019-12-17,22600,49000
2019-12-18,22460,48700
2019-12-19,22280,48300
2019-12-20,22230,48200
2019-12-23,21680,47000
2019-12-24,21910,47500
2019-12-25,22050,43900
2019-12-26,21600,43000
2019-12-27,21900,43600
2019-12-30,22610,45000
2019-12-31,22610,45000
2020-01-02,22860,45500
2020-01-03,22760,45300
2020-01-06,22250,44300
2020-01-07,22150,44100
2020-01-08,21450,42700
2020-01-09,21700,43200
2020-01-10,22360,44500
2020-01-13,22560,44900
2020-01-14,22610,45000
2020-01-15,22460,44700
2020-01-16,22300,44400
2020-01-17,22100,44000
2020-01-20,22000,43800
2020-01-21,22100,44000
2020-01-22,22560,44900
2020-01-30,22860,45500
2020-01-31,22100,44000
2020-02-03,21600,43000
2020-02-04,22100,44000
2020-02-05,22360,44500
2020-02-06,22150,44100
2020-02-07,22150,44100
2020-02-10,22100,44000
2020-02-11,22100,44000
2020-02-12,22100,44000
2020-02-13,21950,43700
2020-02-14,21850,43500
2020-02-17,21600,43000
2020-02-18,21600,43000
2020-02-19,21450,42700
2020-02-20,21600,43000
2020-02-21,21450,42700
2020-02-24,20500,40800
2020-02-25,21100,42000
2020-02-26,20600,41000
2020-02-27,20450,40700
2020-02-28,20090,40000
2020-03-02,20090,40000
2020-03-03,20190,40200
2020-03-04,19890,39600
2020-03-05,20040,39900
2020-03-06,19790,39400
2020-03-09,17580,35000
2020-03-10,17580,35000
2020-03-12,15570,31000
2020-03-13,15220,30300
2020-03-16,15520,30900
2020-03-17,15570,31000
2020-03-18,15470,30800
2020-03-19,15320,30500
2020-03-20,15370,30600
2020-03-23,14520,28900
2020-03-24,15020,29900
2020-03-25,15870,31600
2020-03-26,15620,31100
2020-03-27,14970,29800
2020-03-30,14170,28200
2020-03-31,14070,28000
2020-04-01,14720,29300
2020-04-03,14420,28700
2020-04-06,14670,29200
2020-04-07,15820,31500
2020-04-08,16830,33500
2020-04-09,17830,35500
2020-04-10,16780,33400
2020-04-13,17580,35000
2020-04-14,17480,34800
2020-04-15,17930,35700
2020-04-16,17280,34400
2020-04-17,17730,35300
2020-04-20,17680,35200
2020-04-21,16580,33000
2020-04-22,16980,33800
2020-04-23,17130,34100
2020-04-24,16980,33800
2020-04-27,17580,35000
2020-04-28,18190,36200
2020-04-29,19090,38000
2020-05-04,18940,37700
