kind,ex_date,record_date,pay_date,last_date,settlement_date,amount_per_share,tax_rate,shares_per_share,rights_per_share,subscription_price,choice,funding,source
cash_dividend,2006-06-28,2006-06-30,2006-07-14,,,900,0.05,,,,,,VCI event 6708f3db0ec61045ab7fa20e
cash_dividend,2007-01-29,2007-02-02,2007-02-15,,,1000,0.05,,,,,,VCI event 6708f3db0ec61045ab7fa20d
rights_issue,2007-01-29,2007-01-31,,2007-04-05,2007-04-05,,,,0.05,10000,exercise,external,VCI event 6708f3ec0ec61045ab7fe1c6; price assumption
cash_dividend,2007-06-27,2007-06-29,2007-07-16,,,1900,0.05,,,,,,VCI event 6708f3db0ec61045ab7fa20c
cash_dividend,2008-04-07,2008-04-21,2008-05-09,,,1000,0.05,,,,,,VCI event 6708f3db0ec61045ab7fa20b
cash_dividend,2008-08-18,2008-08-20,2008-09-05,,,1000,0.05,,,,,,VCI event 6708f3db0ec61045ab7fa20f
cash_dividend,2009-07-20,2009-07-22,2009-08-05,,,2000,0.05,,,,,,VCI event 6708f3db0ec61045ab7fa3c2
stock_dividend,2009-09-18,2009-09-22,2009-10-21,,,,,1,,,,,VCI event 6708f3ec0ec61045ab7fe357
cash_dividend,2010-02-25,2010-03-01,2010-03-26,,,1000,0.05,,,,,,VCI event 6708f3db0ec61045ab7fa4c6
cash_dividend,2010-04-08,2010-04-12,2010-04-27,,,1000,0.05,,,,,,VCI event 6708f3dc0ec61045ab7fa530
cash_dividend,2010-08-13,2010-08-17,2010-08-31,,,3000,0.05,,,,,,VCI event 6708f3dc0ec61045ab7fa643
cash_dividend,2011-09-13,2011-09-15,2011-09-30,,,2000,0.05,,,,,,VCI event 6708f3dd0ec61045ab7fa9bd
stock_dividend,2011-11-29,2011-12-01,2011-12-30,,,,,0.5,,,,,VCI event 6708f3ee0ec61045ab7fe959
cash_dividend,2012-04-06,2012-04-10,2012-04-25,,,2000,0.05,,,,,,VCI event 6708f3dd0ec61045ab7fab44
cash_dividend,2012-08-21,2012-08-23,2012-09-06,,,2000,0.05,,,,,,VCI event 6708f3dd0ec61045ab7fac9b
stock_dividend,2012-12-19,2012-12-21,2013-01-25,,,,,0.5,,,,,VCI event 6708f3ef0ec61045ab7fec42
cash_dividend,2013-06-14,2013-06-18,2013-06-28,,,1800,0.05,,,,,,VCI event 6708f3de0ec61045ab7faed9
cash_dividend,2013-08-20,2013-08-22,2013-09-06,,,2000,0.05,,,,,,VCI event 6708f3de0ec61045ab7faf4a
cash_dividend,2013-12-16,2013-12-18,2014-01-03,,,800,0.05,,,,,,VCI event 6708f3df0ec61045ab7fb08e
cash_dividend,2014-05-13,2014-05-15,2014-05-30,,,2000,0.05,,,,,,VCI event 6708f3df0ec61045ab7fb1a7
cash_dividend,2014-08-13,2014-08-15,2014-09-05,,,2000,0.05,,,,,,VCI event 6708f3df0ec61045ab7fb28f
stock_dividend,2014-08-13,2014-08-15,2014-09-30,,,,,0.2,,,,,VCI event 6708f3ef0ec61045ab7fedc5
