date,adjusted_price,unadjusted_price
2017-08-17,6130,39000
2017-08-18,5850,37200
2017-08-21,5640,35850
2017-08-22,5660,36000
2017-08-23,5690,36200
2017-08-24,5700,36250
2017-08-25,5710,36300
2017-08-28,5710,36300
2017-08-29,5710,36300
2017-08-30,5710,36300
2017-08-31,5710,36300
2017-09-01,5710,36300
2017-09-05,5720,36400
2017-09-06,6000,38150
2017-09-07,6060,38550
2017-09-08,6010,38200
2017-09-11,5820,37000
2017-09-12,5870,37350
2017-09-13,5900,37500
2017-09-14,5890,37450
2017-09-15,5880,37400
2017-09-18,5860,37300
2017-09-19,5810,36950
2017-09-20,5800,36900
2017-09-21,5800,36900
2017-09-22,5770,36700
2017-09-25,5760,36650
2017-09-26,5750,36600
2017-09-27,5860,37250
2017-09-28,5860,37250
2017-09-29,5900,37500
2017-10-02,5860,37250
2017-10-03,5800,36900
2017-10-04,5800,36900
2017-10-05,5790,36850
2017-10-06,5850,37200
2017-10-09,5890,37450
2017-10-10,5970,38000
2017-10-11,6210,39500
2017-10-12,6300,40050
2017-10-13,6320,40200
2017-10-16,6400,40700
2017-10-17,6480,41200
2017-10-18,6490,41300
2017-10-19,6460,41100
2017-10-20,6490,41300
2017-10-23,6410,40800
2017-10-24,6400,40700
2017-10-25,6450,41000
2017-10-26,6400,40700
2017-10-27,6420,40850
2017-10-30,6460,41100
2017-10-31,6390,40650
2017-11-01,6340,40300
2017-11-02,5930,37700
2017-11-03,6320,40200
2017-11-06,6270,39900
2017-11-07,6210,39500
2017-11-08,6320,40200
2017-11-09,6240,39700
2017-11-10,6220,39550
2017-11-13,6080,38700
2017-11-14,6140,39050
2017-11-15,6180,39300
2017-11-16,6210,39500
2017-11-17,6210,39500
2017-11-20,6150,39100
2017-11-21,6120,38950
2017-11-22,6230,39600
2017-11-23,6290,40000
2017-11-24,6290,40000
2017-11-27,6260,39800
2017-11-28,6260,39800
2017-11-29,6300,40100
2017-11-30,6470,41150
2017-12-01,6470,41150
2017-12-04,6520,41500
2017-12-05,6450,41050
2017-12-06,6370,40500
2017-12-07,6230,39600
2017-12-08,6210,39500
2017-12-11,6060,38550
2017-12-12,6080,38700
2017-12-13,5960,37900
2017-12-14,6040,38400
2017-12-15,6010,38200
2017-12-18,6130,39000
2017-12-19,6160,39200
2017-12-20,6340,40350
2017-12-21,6360,40450
2017-12-22,6350,40400
2017-12-25,6270,39900
2017-12-26,6260,39800
2017-12-27,6270,39900
2017-12-28,6370,40500
2017-12-29,6450,41000
2018-01-02,6810,43300
2018-01-03,6820,43350
2018-01-04,7060,44900
2018-01-05,6980,44400
2018-01-08,7300,46450
2018-01-09,7530,47900
2018-01-10,7550,48000
2018-01-11,7660,48750
2018-01-12,7410,47100
2018-01-15,7550,48000
2018-01-16,7470,47500
2018-01-17,7390,47000
2018-01-18,7550,48000
2018-01-19,7580,48200
2018-01-22,7740,49250
2018-01-25,8240,52400
2018-01-26,8180,52000
2018-01-29,8190,52100
2018-01-30,8320,52900
2018-01-31,8380,53300
2018-02-01,8210,52200
2018-02-02,8520,54200
2018-02-05,8100,51500
2018-02-06,7770,49400
2018-02-07,8240,52400
2018-02-08,8180,52000
2018-02-09,8250,52500
2018-02-12,8680,55200
2018-02-13,8880,56500
2018-02-21,9180,58400
2018-02-22,8980,57100
2018-02-23,9200,58500
2018-02-26,9100,57900
2018-02-27,9260,58900
2018-02-28,9370,59600
2018-03-01,9310,59200
2018-03-02,9730,61900
2018-03-05,9200,58500
2018-03-06,9720,61800
2018-03-07,9750,62000
2018-03-08,10240,65100
2018-03-09,10050,63900
2018-03-12,9890,62900
2018-03-13,10090,64200
2018-03-14,10140,64500
2018-03-15,10030,63800
2018-03-16,10110,64300
2018-03-19,9970,63400
2018-03-20,10280,65400
2018-03-21,10220,65000
2018-03-22,10250,65200
2018-03-23,10020,63700
2018-03-26,10110,64300
2018-03-27,10200,64900
2018-03-28,10200,64900
2018-03-29,10250,65200
2018-03-30,10140,64500
2018-04-02,10690,68000
2018-04-03,10740,68300
2018-04-04,10710,68100
2018-04-05,10610,67500
2018-04-06,10710,68100
2018-04-09,10900,69300
2018-04-10,10740,68300
2018-04-11,10390,66100
2018-04-12,10440,66400
2018-04-13,10080,64100
2018-04-16,10050,63900
2018-04-17,10240,65100
2018-04-18,10030,63800
2018-04-19,9560,60800
2018-04-20,9620,61200
2018-04-23,8960,57000
2018-04-24,8960,57000
2018-04-26,8350,53100
2018-04-27,8410,53500
2018-05-02,8070,51300
2018-05-03,8130,51700
2018-05-04,8240,52400
2018-05-07,8790,55900
2018-05-08,8570,54500
2018-05-09,8350,53100
2018-05-10,7860,50000
2018-05-11,8130,51700
2018-05-14,7850,49900
2018-05-15,7890,50200
2018-05-16,7590,48300
2018-05-17,7200,45800
2018-05-18,7320,46550
2018-05-21,7390,47000
2018-05-22,7080,45000
2018-05-23,7090,45100
2018-05-24,6930,44100
2018-05-25,6560,41700
2018-05-28,6100,38800
2018-05-29,6520,41500
2018-05-30,6790,43200
2018-05-31,7080,45000
2018-06-01,7230,46000
2018-06-04,7740,49200
2018-06-05,7770,49400
2018-06-06,7770,49450
2018-06-07,7780,49500
2018-06-08,8140,51800
2018-06-11,8360,53200
2018-06-12,8250,52500
2018-06-13,8240,52400
2018-06-14,7860,50000
2018-06-15,7780,49500
2018-06-18,7710,30300
2018-06-19,7400,29100
2018-06-20,7910,31100
2018-06-21,7890,31000
2018-06-22,8370,32900
2018-06-25,8280,32550
2018-06-26,8140,32000
2018-06-27,7780,30600
2018-06-28,7510,29500
2018-06-29,7300,28700
2018-07-02,7050,27700
2018-07-03,6560,25800
2018-07-04,6720,26400
2018-07-05,6410,25200
2018-07-06,6860,26950
2018-07-09,6890,27100
2018-07-10,7070,27800
2018-07-11,6590,25900
2018-07-12,6700,26350
2018-07-13,6970,27400
2018-07-16,7020,27600
2018-07-17,7490,29450
2018-07-18,7640,30050
2018-07-19,7560,29700
2018-07-20,7510,29500
2018-07-23,7000,27500
2018-07-24,6820,26800
2018-07-25,6690,26300
2018-07-26,6670,26200
2018-07-27,6720,26400
2018-07-30,6950,27300
2018-07-31,6890,27100
2018-08-01,6820,26800
2018-08-02,6750,26550
2018-08-03,6770,26600
2018-08-06,6650,26150
2018-08-07,6650,26150
2018-08-08,6770,26600
2018-08-09,6840,26900
2018-08-10,6820,26800
2018-08-13,6910,27150
2018-08-14,6920,27200
2018-08-15,6740,26500
2018-08-16,6740,26500
2018-08-17,6610,26000
2018-08-20,6330,24900
2018-08-21,6490,25500
2018-08-22,6490,25500
2018-08-23,6460,25400
2018-08-24,6370,25050
2018-08-27,6440,25300
2018-08-28,6470,25450
2018-08-29,6420,25250
2018-08-30,6490,25500
2018-08-31,6590,25900
2018-09-04,6540,25700
2018-09-05,6450,25350
2018-09-06,6260,24600
2018-09-07,6360,25000
2018-09-10,6210,24400
2018-09-11,6280,24700
2018-09-12,6230,24500
2018-09-13,6180,24300
2018-09-14,6190,24350
2018-09-17,6210,24400
2018-09-18,6220,24450
2018-09-19,6350,24950
2018-09-20,6560,25800
2018-09-21,6690,26300
2018-09-24,6600,25950
2018-09-25,6590,25900
2018-09-26,6610,26000
2018-09-27,6680,26250
2018-09-28,6820,26800
2018-10-01,6720,26400
2018-10-02,6670,26200
2018-10-03,6640,26100
2018-10-04,6700,26350
2018-10-05,6550,25750
2018-10-08,6440,25300
2018-10-09,6410,25200
2018-10-10,6360,25000
2018-10-11,5920,23250
2018-10-12,6170,24250
2018-10-15,6030,23700
2018-10-16,6080,23900
2018-10-17,6110,24000
2018-10-18,6050,23800
2018-10-19,6080,23900
2018-10-22,5920,23250
2018-10-23,5800,22800
2018-10-24,5640,22150
2018-10-25,5500,21600
2018-10-26,5360,21050
2018-10-29,5190,20400
2018-10-30,5180,20350
2018-10-31,5440,21400
2018-11-01,5220,20500
2018-11-02,5340,21000
2018-11-05,5390,21200
2018-11-06,5330,20950
2018-11-07,5250,20650
2018-11-08,5270,20700
2018-11-09,5180,20350
2018-11-12,5200,20450
2018-11-13,5140,20200
2018-11-14,5050,19850
2018-11-15,4830,19000
2018-11-16,5160,20300
2018-11-19,5520,21700
2018-11-20,5550,21800
2018-11-21,5550,21800
2018-11-22,5710,22450
2018-11-23,5580,21950
2018-11-26,5500,21600
2018-11-27,5340,21000
2018-11-28,5340,21000
2018-11-29,5290,20800
2018-11-30,5290,20800
2018-12-03,5610,22050
2018-12-04,5700,22400
2018-12-05,5720,22500
2018-12-06,5700,22400
2018-12-07,5780,22700
2018-12-10,5760,22650
2018-12-11,5720,22500
2018-12-12,5700,22400
2018-12-13,5710,22450
2018-12-14,5550,21800
2018-12-17,5340,21000
2018-12-18,5270,20700
2018-12-19,5270,20700
2018-12-20,5160,20300
2018-12-21,5270,20700
2018-12-24,5180,20350
2018-12-25,4990,19600
2018-12-26,4960,19500
2018-12-27,5050,19850
2018-12-28,5080,19950
2019-01-02,4940,19400
2019-01-03,4830,19000
2019-01-04,4820,18950
2019-01-07,4900,19250
2019-01-08,4870,19150
2019-01-09,4870,19150
2019-01-10,4880,19200
2019-01-11,4860,19100
2019-01-14,4850,19050
2019-01-15,4900,19250
2019-01-16,5050,19850
2019-01-17,4830,19000
2019-01-18,4900,19250
2019-01-21,5090,20000
2019-01-22,5000,19650
2019-01-23,5060,19900
2019-01-24,5140,20200
2019-01-25,5100,20050
2019-01-28,5010,19700
2019-01-29,5090,20000
2019-01-30,5060,19900
2019-01-31,5140,20200
2019-02-01,5100,20050
2019-02-11,5390,21200
2019-02-12,5430,21350
2019-02-13,5470,21500
2019-02-14,5410,21250
2019-02-15,5410,21250
2019-02-18,5470,21500
2019-02-19,5390,21200
2019-02-20,5380,21150
2019-02-21,5440,21400
2019-02-22,5430,21350
2019-02-25,5470,21500
2019-02-26,5420,21300
2019-02-27,5390,21200
2019-02-28,5270,20700
2019-03-01,5320,20900
2019-03-04,5440,21400
2019-03-05,5440,21400
2019-03-06,5420,21300
2019-03-07,5420,21300
2019-03-08,5360,21050
2019-03-11,5370,21100
2019-03-12,5470,21500
2019-03-13,5600,22000
2019-03-14,5520,21700
2019-03-15,5550,21800
2019-03-18,5720,22500
2019-03-19,5570,21900
2019-03-20,5530,21750
2019-03-21,5340,21000
2019-03-22,5340,21000
2019-03-25,5140,20200
2019-03-26,5140,20200
2019-03-27,5270,20700
2019-03-28,5200,20450
2019-03-29,5140,20200
2019-04-01,5150,20250
2019-04-02,5130,20150
2019-04-03,5080,19950
2019-04-04,5090,20000
2019-04-05,5100,20050
2019-04-08,5050,19850
2019-04-09,5080,19950
2019-04-10,5050,19850
2019-04-11,5000,19650
2019-04-12,4950,19450
2019-04-16,4870,19150
2019-04-17,4950,19450
2019-04-18,4910,19300
2019-04-19,4940,19400
2019-04-22,4920,19350
2019-04-23,4860,19100
2019-04-24,4910,19300
2019-04-25,4850,19050
2019-04-26,4850,19050
2019-05-02,4820,18950
2019-05-03,4820,18950
2019-05-06,4690,18450
2019-05-07,4640,18250
2019-05-08,4640,18250
2019-05-09,4640,18250
2019-05-10,4670,18350
2019-05-13,4680,18400
2019-05-14,4710,18500
2019-05-15,4810,18900
2019-05-16,4810,18900
2019-05-17,4800,18850
2019-05-20,4780,18800
2019-05-21,4830,19000
2019-05-22,4860,19100
2019-05-23,4770,18750
2019-05-24,4740,18650
2019-05-27,4770,18750
2019-05-28,4710,18500
2019-05-29,4660,18300
2019-05-30,4680,18400
2019-05-31,4630,18200
2019-06-03,4580,18000
2019-06-04,4580,18000
2019-06-05,4540,17850
2019-06-06,4570,17950
2019-06-07,4570,17950
2019-06-10,4600,18100
2019-06-11,4620,18150
2019-06-12,4620,18150
2019-06-13,4630,18200
2019-06-14,4730,18600
2019-06-17,4730,18600
2019-06-18,4690,18450
2019-06-19,4720,18550
2019-06-20,4880,19200
2019-06-21,4910,19300
2019-06-24,4910,19300
2019-06-25,4940,19400
2019-06-26,4880,19200
2019-06-27,4800,18850
2019-06-28,4810,18900
2019-07-01,4940,19400
2019-07-02,4910,19300
2019-07-03,4880,19200
2019-07-04,4920,19350
2019-07-05,4940,19400
2019-07-08,4920,19350
2019-07-09,4910,19300
2019-07-10,4940,19400
2019-07-11,5000,19650
2019-07-12,4960,19500
2019-07-15,4990,19600
2019-07-16,5010,19700
2019-07-17,4940,19400
2019-07-18,4910,19300
2019-07-19,4940,19400
2019-07-22,4860,19100
2019-07-23,4860,19100
2019-07-24,4860,19100
2019-07-25,4780,18800
2019-07-26,4770,18750
2019-07-29,4770,18750
2019-07-30,4740,18650
2019-07-31,4720,18550
2019-08-01,4710,18500
2019-08-02,4850,19050
2019-08-05,4820,18950
2019-08-06,4780,18800
2019-08-07,4770,18750
2019-08-08,4760,18700
2019-08-09,4830,19000
2019-08-12,4830,19000
2019-08-13,4860,19100
2019-08-14,4900,19250
2019-08-15,4910,19300
2019-08-16,4950,19450
2019-08-19,4950,19450
2019-08-20,4960,19500
2019-08-21,5020,19750
2019-08-22,5040,19800
2019-08-23,5040,19800
2019-08-26,5110,20100
2019-08-27,5190,20400
2019-08-28,5160,20300
2019-08-29,5190,20400
2019-08-30,5160,20300
2019-09-03,5160,20300
2019-09-04,5040,19800
2019-09-05,5150,20250
2019-09-06,5180,20350
2019-09-09,5130,20150
2019-09-10,5110,20100
2019-09-11,5110,20100
2019-09-12,5220,20500
2019-09-13,5270,20700
2019-09-16,5270,20700
2019-09-17,5240,20600
2019-09-18,5370,21100
2019-09-19,5460,21450
2019-09-20,5440,21400
2019-09-23,5440,21400
2019-09-24,5430,21350
2019-09-25,5440,21400
2019-09-26,5510,21650
2019-09-27,5640,22150
2019-09-30,5610,22050
2019-10-01,5690,22350
2019-10-02,5750,22600
2019-10-03,5750,22600
2019-10-04,5670,22300
2019-10-07,5530,21750
2019-10-08,5600,22000
2019-10-09,5620,22100
2019-10-10,5650,22200
2019-10-11,5620,22100
2019-10-14,5670,22300
2019-10-15,5740,22550
2019-10-16,5740,22550
2019-10-17,5720,22500
2019-10-18,5700,22400
2019-10-21,5600,22000
2019-10-22,5570,21900
2019-10-23,5640,22150
2019-10-24,5550,21800
2019-10-25,5600,22000
2019-10-28,5610,22050
2019-10-29,5570,21900
2019-10-30,5550,21800
2019-10-31,5470,21500
2019-11-01,5470,21500
2019-11-04,5600,22000
2019-11-05,5660,22250
2019-11-06,5640,22150
2019-11-07,5600,22000
2019-11-08,5640,22150
2019-11-11,5570,21900
2019-11-12,5510,21650
2019-11-13,5470,21500
2019-11-14,5340,21000
2019-11-15,5440,21400
2019-11-18,5390,21200
2019-11-19,5420,21300
2019-11-20,5320,20900
2019-11-21,5090,20000
2019-11-22,5140,20200
2019-11-25,5140,20200
2019-11-26,5200,20450
2019-11-27,5190,20400
2019-11-28,5100,20050
2019-11-29,5130,20150
2019-12-02,4960,19500
2019-12-03,4760,18700
2019-12-04,5020,19750
2019-12-05,4990,19600
2019-12-06,4990,19600
2019-12-09,4940,19400
2019-12-10,4850,19050
2019-12-11,4900,19250
2019-12-12,5000,19650
2019-12-13,5000,19650
2019-12-16,4990,19600
2019-12-17,4910,19300
2019-12-18,4900,19250
2019-12-19,4880,19200
2019-12-20,4990,19600
2019-12-23,4920,19350
2019-12-24,4910,19300
2019-12-25,4970,19550
2019-12-26,5010,19700
2019-12-27,5010,19700
2019-12-30,5040,19800
2019-12-31,5090,20000
2020-01-02,5230,20550
2020-01-03,5190,20400
2020-01-06,5080,19950
2020-01-07,5180,20350
2020-01-08,5110,20100
2020-01-09,5280,20750
2020-01-10,5360,21050
2020-01-13,5240,20600
2020-01-14,5380,21150
2020-01-15,5510,21650
2020-01-16,5560,21850
2020-01-17,5570,21900
2020-01-20,5720,22500
2020-01-21,5990,23550
2020-01-22,6000,23600
2020-01-30,5780,22700
2020-01-31,5710,22450
2020-02-03,5750,22600
2020-02-04,5970,23450
2020-02-05,6140,24150
2020-02-06,6490,25500
2020-02-07,6450,25350
2020-02-10,6260,24600
2020-02-11,6460,25400
2020-02-12,6580,25850
2020-02-13,6770,26600
2020-02-14,6910,27150
2020-02-17,6890,27100
2020-02-18,6970,27400
2020-02-19,7070,27800
2020-02-20,7260,28550
2020-02-21,7330,28800
2020-02-24,6820,26800
2020-02-25,7200,28300
2020-02-26,7200,28300
2020-02-27,7210,28350
2020-02-28,6920,27200
2020-03-02,6840,26900
2020-03-03,6910,27150
2020-03-04,6910,27150
2020-03-05,7090,27850
2020-03-06,7000,27500
2020-03-09,6510,25600
2020-03-10,6610,26000
2020-03-11,6160,24200
2020-03-12,5740,22550
2020-03-13,5720,22500
2020-03-16,5330,20950
2020-03-17,5470,21500
2020-03-18,5480,21550
2020-03-19,5290,20800
2020-03-20,5360,21050
2020-03-23,4990,19600
2020-03-24,4960,19500
2020-03-25,5160,20300
2020-03-26,4990,19600
2020-03-27,4970,19550
2020-03-30,4630,18200
2020-03-31,4310,16950
2020-04-01,4390,17250
